Sequence_identifier,_NormalizedVDWVC2,_PolarizabilityC2,_PolarizabilityC3,_ChargeC1,_PolarizabilityC1,_SecondaryStrC2,_SecondaryStrC3,_NormalizedVDWVC3,_SecondaryStrC1,_SolventAccessibilityC1,_SolventAccessibilityC2,_SolventAccessibilityC3,_NormalizedVDWVC1,_HydrophobicityC3,_HydrophobicityC1,_ChargeC3,_PolarityC2,_PolarityC1,_HydrophobicityC2,_PolarityC3,_ChargeC2
1573,0.269,0.393,0.297,0.138,0.31,0.29,0.324,0.297,0.386,0.4,0.283,0.317,0.393,0.303,0.283,0.076,0.179,0.331,0.414,0.179,0.786
1574,0.344,0.393,0.297,0.054,0.31,0.359,0.235,0.297,0.406,0.578,0.155,0.267,0.359,0.425,0.155,0.047,0.13,0.474,0.42,0.086,0.899
1575,0.339,0.358,0.202,0.101,0.44,0.266,0.312,0.202,0.422,0.459,0.321,0.22,0.45,0.303,0.321,0.156,0.147,0.312,0.376,0.101,0.743
1576,0.364,0.409,0.222,0.074,0.369,0.301,0.278,0.222,0.42,0.477,0.341,0.182,0.398,0.313,0.341,0.21,0.182,0.347,0.347,0.102,0.716
1577,0.408,0.47,0.207,0.082,0.323,0.288,0.26,0.207,0.451,0.483,0.317,0.201,0.376,0.342,0.317,0.11,0.235,0.357,0.342,0.085,0.809
1578,0.492,0.508,0.29,0.169,0.202,0.298,0.194,0.29,0.508,0.363,0.444,0.194,0.21,0.331,0.444,0.161,0.234,0.379,0.226,0.185,0.669
1579,0.48,0.512,0.187,0.154,0.301,0.268,0.268,0.187,0.463,0.423,0.407,0.171,0.333,0.285,0.407,0.106,0.244,0.301,0.309,0.154,0.74
1580,0.37,0.443,0.207,0.109,0.35,0.296,0.282,0.207,0.421,0.487,0.288,0.225,0.402,0.326,0.288,0.127,0.183,0.348,0.386,0.119,0.763
1581,0.343,0.405,0.295,0.114,0.299,0.33,0.282,0.295,0.388,0.411,0.299,0.29,0.354,0.328,0.299,0.117,0.18,0.383,0.373,0.138,0.769
1582,0.345,0.407,0.294,0.112,0.299,0.331,0.28,0.294,0.388,0.411,0.297,0.292,0.354,0.328,0.297,0.117,0.182,0.383,0.375,0.136,0.771
1583,0.398,0.445,0.252,0.134,0.303,0.28,0.26,0.252,0.46,0.452,0.326,0.221,0.347,0.326,0.326,0.129,0.175,0.365,0.347,0.157,0.738
1584,0.376,0.421,0.217,0.126,0.362,0.273,0.293,0.217,0.434,0.438,0.359,0.203,0.399,0.278,0.359,0.144,0.2,0.301,0.363,0.137,0.73
1585,0.436,0.487,0.242,0.121,0.271,0.286,0.245,0.242,0.469,0.436,0.359,0.205,0.308,0.337,0.359,0.143,0.22,0.363,0.304,0.147,0.736
1586,0.341,0.416,0.203,0.101,0.381,0.271,0.293,0.203,0.436,0.452,0.28,0.268,0.449,0.288,0.28,0.124,0.181,0.315,0.432,0.123,0.775
1587,0.463,0.537,0.306,0.176,0.157,0.278,0.176,0.306,0.546,0.454,0.444,0.102,0.194,0.398,0.444,0.222,0.259,0.407,0.157,0.176,0.602
1588,0.395,0.456,0.207,0.11,0.337,0.244,0.334,0.207,0.422,0.383,0.366,0.251,0.385,0.268,0.366,0.127,0.249,0.285,0.366,0.129,0.763
1589,0.375,0.403,0.292,0.153,0.306,0.347,0.236,0.292,0.417,0.403,0.347,0.25,0.333,0.333,0.347,0.139,0.153,0.375,0.319,0.167,0.708
1590,0.4,0.424,0.305,0.152,0.271,0.3,0.233,0.305,0.467,0.405,0.362,0.233,0.295,0.324,0.362,0.138,0.167,0.386,0.314,0.176,0.71
1591,0.312,0.412,0.285,0.115,0.304,0.265,0.331,0.285,0.404,0.396,0.312,0.292,0.385,0.288,0.312,0.119,0.215,0.319,0.4,0.162,0.765
1592,0.3,0.404,0.288,0.115,0.308,0.265,0.327,0.288,0.408,0.412,0.296,0.292,0.392,0.292,0.296,0.119,0.204,0.323,0.412,0.165,0.765
1593,0.374,0.43,0.222,0.107,0.348,0.278,0.289,0.222,0.433,0.457,0.304,0.239,0.402,0.296,0.304,0.126,0.193,0.333,0.4,0.126,0.767
1594,0.388,0.424,0.201,0.079,0.375,0.273,0.266,0.201,0.46,0.508,0.289,0.203,0.406,0.318,0.289,0.131,0.185,0.35,0.393,0.09,0.79
1595,0.333,0.392,0.333,0.117,0.275,0.292,0.24,0.333,0.468,0.427,0.316,0.257,0.31,0.345,0.316,0.164,0.175,0.404,0.339,0.146,0.719
1596,0.324,0.368,0.382,0.228,0.25,0.301,0.184,0.382,0.515,0.426,0.36,0.213,0.294,0.287,0.36,0.081,0.162,0.316,0.353,0.272,0.691
1597,0.345,0.404,0.327,0.111,0.269,0.304,0.228,0.327,0.468,0.439,0.304,0.257,0.304,0.357,0.304,0.164,0.175,0.415,0.339,0.14,0.725
1598,0.422,0.461,0.206,0.078,0.333,0.235,0.343,0.206,0.422,0.382,0.324,0.294,0.373,0.255,0.324,0.078,0.255,0.284,0.422,0.127,0.843
1599,0.363,0.431,0.281,0.116,0.288,0.311,0.251,0.281,0.438,0.431,0.326,0.243,0.341,0.337,0.326,0.157,0.195,0.382,0.337,0.135,0.727
1600,0.335,0.379,0.231,0.082,0.39,0.253,0.302,0.231,0.445,0.538,0.286,0.176,0.434,0.346,0.286,0.143,0.159,0.363,0.368,0.088,0.775
1601,0.344,0.388,0.304,0.111,0.308,0.29,0.293,0.304,0.417,0.424,0.339,0.237,0.35,0.297,0.339,0.157,0.191,0.357,0.364,0.144,0.732
1602,0.33,0.397,0.278,0.098,0.325,0.27,0.27,0.278,0.459,0.471,0.292,0.237,0.385,0.313,0.292,0.139,0.196,0.342,0.395,0.136,0.763
1603,0.385,0.427,0.195,0.096,0.378,0.24,0.287,0.195,0.473,0.465,0.333,0.202,0.417,0.291,0.333,0.157,0.198,0.308,0.375,0.117,0.747
1604,0.382,0.418,0.269,0.134,0.313,0.301,0.257,0.269,0.442,0.472,0.319,0.209,0.346,0.346,0.319,0.14,0.164,0.379,0.334,0.143,0.725
1605,0.401,0.446,0.298,0.163,0.255,0.276,0.234,0.298,0.489,0.408,0.387,0.205,0.284,0.313,0.387,0.122,0.21,0.353,0.3,0.182,0.715
1606,0.355,0.392,0.235,0.113,0.373,0.311,0.318,0.235,0.372,0.333,0.361,0.306,0.41,0.199,0.361,0.078,0.237,0.264,0.44,0.126,0.809
1607,0.341,0.391,0.236,0.117,0.373,0.325,0.31,0.236,0.365,0.373,0.33,0.296,0.422,0.217,0.33,0.069,0.22,0.278,0.453,0.13,0.814
1608,0.374,0.46,0.227,0.11,0.313,0.294,0.221,0.227,0.485,0.472,0.301,0.227,0.344,0.313,0.301,0.098,0.202,0.337,0.387,0.147,0.791
1609,0.363,0.404,0.227,0.108,0.368,0.31,0.263,0.227,0.427,0.468,0.302,0.23,0.407,0.31,0.302,0.133,0.166,0.33,0.388,0.136,0.759
1610,0.471,0.587,0.206,0.123,0.206,0.245,0.219,0.206,0.535,0.452,0.439,0.11,0.271,0.342,0.439,0.123,0.316,0.342,0.219,0.135,0.755
1611,0.334,0.41,0.249,0.09,0.342,0.291,0.334,0.249,0.374,0.425,0.286,0.289,0.402,0.299,0.286,0.116,0.188,0.357,0.415,0.113,0.794
1612,0.367,0.417,0.242,0.102,0.341,0.269,0.345,0.242,0.386,0.481,0.292,0.227,0.375,0.341,0.292,0.091,0.155,0.375,0.367,0.129,0.807
1613,0.422,0.474,0.199,0.085,0.326,0.275,0.267,0.199,0.458,0.446,0.31,0.244,0.369,0.31,0.31,0.115,0.229,0.339,0.38,0.106,0.8
1614,0.418,0.47,0.187,0.082,0.343,0.277,0.288,0.187,0.434,0.489,0.308,0.203,0.385,0.321,0.308,0.11,0.206,0.343,0.371,0.107,0.808
1615,0.233,0.34,0.175,0.039,0.485,0.301,0.374,0.175,0.325,0.505,0.189,0.306,0.544,0.257,0.189,0.053,0.18,0.277,0.553,0.058,0.908
1616,0.358,0.432,0.254,0.097,0.314,0.355,0.269,0.254,0.375,0.472,0.278,0.251,0.348,0.366,0.278,0.102,0.157,0.415,0.356,0.115,0.801
1617,0.409,0.45,0.27,0.121,0.28,0.307,0.241,0.27,0.452,0.403,0.341,0.256,0.319,0.333,0.341,0.157,0.198,0.382,0.327,0.141,0.722
1618,0.447,0.487,0.213,0.093,0.3,0.287,0.267,0.213,0.447,0.48,0.307,0.213,0.327,0.36,0.307,0.147,0.2,0.387,0.333,0.113,0.76
1619,0.385,0.428,0.269,0.115,0.303,0.289,0.256,0.269,0.455,0.425,0.333,0.242,0.335,0.319,0.333,0.133,0.201,0.358,0.348,0.138,0.753
1620,0.323,0.382,0.265,0.106,0.354,0.284,0.293,0.265,0.423,0.425,0.293,0.282,0.388,0.297,0.293,0.119,0.163,0.356,0.41,0.128,0.774
1621,0.376,0.462,0.226,0.089,0.312,0.321,0.287,0.226,0.391,0.471,0.309,0.22,0.364,0.367,0.309,0.135,0.199,0.391,0.324,0.098,0.777
1622,0.351,0.382,0.264,0.14,0.354,0.248,0.256,0.264,0.496,0.409,0.368,0.223,0.376,0.287,0.368,0.166,0.166,0.321,0.345,0.159,0.694
1623,0.355,0.467,0.196,0.065,0.336,0.299,0.262,0.196,0.439,0.542,0.234,0.224,0.411,0.308,0.234,0.075,0.224,0.346,0.458,0.093,0.86
1624,0.396,0.442,0.281,0.129,0.277,0.292,0.257,0.281,0.451,0.429,0.354,0.217,0.315,0.329,0.354,0.132,0.201,0.371,0.316,0.151,0.739
1625,0.373,0.406,0.191,0.1,0.403,0.285,0.282,0.191,0.433,0.455,0.282,0.264,0.436,0.285,0.282,0.097,0.176,0.306,0.433,0.115,0.803
1626,0.315,0.405,0.187,0.063,0.408,0.3,0.33,0.187,0.37,0.439,0.252,0.309,0.477,0.25,0.252,0.078,0.218,0.296,0.498,0.078,0.859
1627,0.358,0.438,0.275,0.095,0.287,0.303,0.277,0.275,0.419,0.448,0.291,0.261,0.353,0.353,0.291,0.111,0.206,0.382,0.355,0.126,0.794
1628,0.366,0.443,0.184,0.094,0.373,0.28,0.272,0.184,0.448,0.519,0.264,0.217,0.42,0.33,0.264,0.101,0.165,0.338,0.406,0.124,0.805
1629,0.363,0.418,0.191,0.089,0.391,0.274,0.289,0.191,0.437,0.514,0.258,0.228,0.44,0.298,0.258,0.105,0.169,0.338,0.443,0.102,0.806
1630,0.355,0.409,0.278,0.124,0.313,0.287,0.251,0.278,0.463,0.443,0.334,0.223,0.355,0.3,0.334,0.139,0.191,0.349,0.366,0.148,0.737
1631,0.317,0.384,0.198,0.097,0.418,0.31,0.313,0.198,0.377,0.433,0.231,0.336,0.47,0.28,0.231,0.049,0.157,0.321,0.489,0.104,0.854
1632,0.395,0.463,0.278,0.146,0.259,0.293,0.19,0.278,0.517,0.493,0.302,0.205,0.317,0.356,0.302,0.137,0.18,0.395,0.341,0.166,0.717
1633,0.364,0.404,0.263,0.131,0.333,0.253,0.263,0.263,0.485,0.414,0.384,0.202,0.354,0.323,0.384,0.141,0.192,0.323,0.293,0.152,0.727
1634,0.377,0.412,0.266,0.151,0.322,0.312,0.216,0.266,0.472,0.417,0.357,0.226,0.337,0.312,0.357,0.151,0.171,0.337,0.332,0.171,0.698
1635,0.322,0.388,0.204,0.086,0.408,0.237,0.421,0.204,0.342,0.467,0.303,0.23,0.454,0.257,0.303,0.132,0.178,0.27,0.441,0.145,0.783
1636,0.398,0.446,0.301,0.157,0.253,0.281,0.229,0.301,0.49,0.361,0.398,0.241,0.277,0.297,0.398,0.149,0.209,0.345,0.305,0.193,0.695
1637,0.169,0.22,0.458,0.288,0.322,0.153,0.22,0.458,0.627,0.305,0.39,0.305,0.373,0.119,0.39,0.017,0.136,0.153,0.492,0.39,0.695
1638,0.417,0.504,0.188,0.098,0.308,0.259,0.274,0.188,0.466,0.474,0.316,0.211,0.387,0.32,0.316,0.086,0.256,0.338,0.365,0.098,0.816
1639,0.336,0.395,0.328,0.168,0.277,0.294,0.227,0.328,0.479,0.395,0.353,0.252,0.336,0.303,0.353,0.151,0.185,0.353,0.345,0.185,0.681
1640,0.346,0.408,0.251,0.099,0.34,0.272,0.272,0.251,0.455,0.445,0.33,0.225,0.387,0.319,0.33,0.152,0.183,0.346,0.351,0.131,0.749
1641,0.327,0.389,0.221,0.08,0.389,0.263,0.304,0.221,0.434,0.469,0.263,0.268,0.448,0.289,0.263,0.124,0.18,0.313,0.448,0.118,0.796
1642,0.355,0.43,0.195,0.087,0.375,0.305,0.314,0.195,0.381,0.526,0.265,0.209,0.433,0.326,0.265,0.105,0.172,0.343,0.41,0.11,0.808
1643,0.35,0.404,0.213,0.091,0.383,0.258,0.298,0.213,0.444,0.486,0.286,0.228,0.432,0.307,0.286,0.103,0.179,0.328,0.407,0.109,0.805
1644,0.353,0.452,0.228,0.133,0.32,0.219,0.305,0.228,0.476,0.388,0.343,0.269,0.397,0.251,0.343,0.127,0.247,0.275,0.406,0.157,0.74
1645,0.295,0.358,0.281,0.123,0.362,0.325,0.311,0.281,0.364,0.404,0.309,0.287,0.412,0.24,0.309,0.077,0.194,0.295,0.451,0.149,0.8
1646,0.299,0.362,0.279,0.123,0.36,0.325,0.311,0.279,0.364,0.404,0.311,0.285,0.41,0.24,0.311,0.077,0.198,0.295,0.448,0.147,0.8
1647,0.353,0.43,0.271,0.077,0.299,0.32,0.301,0.271,0.379,0.421,0.306,0.273,0.348,0.311,0.306,0.14,0.201,0.379,0.383,0.121,0.783
1648,0.343,0.404,0.28,0.102,0.316,0.295,0.232,0.28,0.473,0.452,0.295,0.253,0.367,0.301,0.295,0.136,0.196,0.337,0.404,0.151,0.762
1649,0.357,0.382,0.295,0.159,0.324,0.314,0.266,0.295,0.42,0.425,0.382,0.193,0.333,0.324,0.382,0.13,0.159,0.353,0.295,0.164,0.71
1650,0.319,0.397,0.244,0.105,0.359,0.282,0.284,0.244,0.434,0.449,0.277,0.274,0.419,0.289,0.277,0.125,0.165,0.332,0.434,0.145,0.771
1651,0.431,0.515,0.196,0.064,0.289,0.299,0.333,0.196,0.368,0.392,0.333,0.275,0.358,0.324,0.333,0.157,0.275,0.358,0.343,0.078,0.779
1652,0.405,0.456,0.202,0.093,0.341,0.246,0.28,0.202,0.473,0.493,0.288,0.22,0.383,0.322,0.288,0.112,0.19,0.344,0.39,0.124,0.795
1653,0.341,0.403,0.256,0.085,0.341,0.249,0.318,0.256,0.433,0.466,0.302,0.233,0.397,0.305,0.302,0.157,0.18,0.344,0.393,0.134,0.757
1654,0.328,0.403,0.236,0.097,0.361,0.264,0.299,0.236,0.438,0.445,0.281,0.274,0.418,0.281,0.281,0.129,0.174,0.326,0.438,0.139,0.774
1655,0.278,0.444,0.222,0.093,0.333,0.315,0.37,0.222,0.315,0.444,0.352,0.204,0.426,0.315,0.352,0.241,0.222,0.352,0.333,0.093,0.667
1656,0.352,0.408,0.256,0.116,0.335,0.273,0.253,0.256,0.474,0.437,0.335,0.228,0.376,0.3,0.335,0.156,0.205,0.326,0.365,0.134,0.729
1657,0.35,0.436,0.453,0.299,0.111,0.274,0.111,0.453,0.615,0.376,0.436,0.188,0.162,0.325,0.436,0.094,0.179,0.385,0.239,0.325,0.607
1658,0.385,0.45,0.264,0.11,0.286,0.282,0.275,0.264,0.444,0.432,0.34,0.227,0.34,0.322,0.34,0.158,0.225,0.354,0.338,0.135,0.732
1659,0.358,0.38,0.262,0.14,0.358,0.271,0.231,0.262,0.498,0.424,0.355,0.221,0.374,0.305,0.355,0.159,0.153,0.333,0.34,0.156,0.701
1660,0.373,0.434,0.213,0.103,0.352,0.254,0.311,0.213,0.434,0.499,0.27,0.231,0.409,0.324,0.27,0.118,0.175,0.357,0.406,0.116,0.779
1661,0.351,0.468,0.271,0.165,0.261,0.266,0.277,0.271,0.457,0.399,0.356,0.245,0.346,0.293,0.356,0.096,0.25,0.314,0.351,0.176,0.739
1662,0.38,0.462,0.218,0.105,0.32,0.308,0.301,0.218,0.391,0.396,0.342,0.262,0.372,0.298,0.342,0.138,0.221,0.331,0.36,0.128,0.757
1663,0.287,0.398,0.179,0.08,0.422,0.27,0.306,0.179,0.424,0.46,0.243,0.297,0.521,0.258,0.243,0.099,0.2,0.279,0.499,0.099,0.821
1664,0.304,0.35,0.247,0.099,0.403,0.262,0.316,0.247,0.422,0.487,0.251,0.262,0.437,0.285,0.251,0.103,0.133,0.35,0.464,0.114,0.798
1665,0.293,0.335,0.255,0.106,0.411,0.266,0.319,0.255,0.414,0.475,0.251,0.274,0.441,0.281,0.251,0.106,0.118,0.346,0.468,0.125,0.787
1666,0.397,0.47,0.228,0.12,0.302,0.309,0.277,0.228,0.414,0.446,0.316,0.238,0.356,0.333,0.316,0.127,0.202,0.352,0.351,0.144,0.753
1667,0.347,0.437,0.286,0.121,0.276,0.281,0.296,0.286,0.422,0.417,0.337,0.246,0.352,0.322,0.337,0.136,0.236,0.352,0.342,0.136,0.744
1668,0.325,0.367,0.278,0.124,0.355,0.249,0.249,0.278,0.503,0.491,0.308,0.201,0.385,0.314,0.308,0.142,0.13,0.337,0.379,0.178,0.734
1669,0.372,0.429,0.274,0.126,0.297,0.279,0.262,0.274,0.459,0.401,0.344,0.254,0.338,0.325,0.344,0.135,0.197,0.357,0.331,0.149,0.738
1670,0.38,0.451,0.235,0.122,0.315,0.272,0.286,0.235,0.441,0.465,0.305,0.23,0.376,0.329,0.305,0.141,0.188,0.352,0.366,0.146,0.737
1671,0.336,0.396,0.218,0.1,0.386,0.279,0.282,0.218,0.439,0.496,0.282,0.221,0.436,0.314,0.282,0.132,0.146,0.346,0.404,0.121,0.768
1672,0.339,0.422,0.241,0.103,0.337,0.322,0.292,0.241,0.386,0.418,0.292,0.291,0.393,0.314,0.292,0.111,0.193,0.354,0.394,0.116,0.787
1673,0.357,0.437,0.244,0.099,0.319,0.268,0.31,0.244,0.423,0.441,0.282,0.277,0.39,0.329,0.282,0.136,0.188,0.352,0.39,0.141,0.765
1674,0.401,0.495,0.236,0.118,0.269,0.274,0.278,0.236,0.448,0.481,0.307,0.212,0.349,0.349,0.307,0.137,0.217,0.368,0.344,0.146,0.745
1675,0.368,0.42,0.178,0.08,0.402,0.218,0.259,0.178,0.523,0.644,0.184,0.172,0.454,0.379,0.184,0.075,0.109,0.397,0.437,0.092,0.845
1676,0.321,0.44,0.21,0.111,0.35,0.16,0.347,0.21,0.494,0.377,0.307,0.317,0.456,0.227,0.307,0.111,0.254,0.246,0.466,0.15,0.777
1677,0.333,0.376,0.277,0.128,0.348,0.262,0.248,0.277,0.489,0.468,0.326,0.206,0.39,0.312,0.326,0.149,0.17,0.333,0.362,0.149,0.723
1678,0.308,0.385,0.274,0.137,0.342,0.308,0.291,0.274,0.402,0.41,0.316,0.274,0.376,0.333,0.316,0.12,0.137,0.376,0.35,0.145,0.744
1679,0.396,0.451,0.279,0.111,0.27,0.309,0.305,0.279,0.386,0.415,0.352,0.233,0.319,0.322,0.352,0.135,0.227,0.376,0.326,0.127,0.753
1680,0.35,0.407,0.251,0.112,0.342,0.287,0.347,0.251,0.366,0.467,0.306,0.227,0.393,0.309,0.306,0.112,0.189,0.336,0.385,0.134,0.776
1681,0.344,0.407,0.299,0.111,0.294,0.308,0.283,0.299,0.41,0.385,0.346,0.269,0.339,0.287,0.346,0.145,0.222,0.351,0.367,0.133,0.744
1682,0.379,0.459,0.22,0.099,0.321,0.242,0.264,0.22,0.495,0.495,0.294,0.212,0.379,0.332,0.294,0.104,0.195,0.363,0.374,0.121,0.797
1683,0.377,0.476,0.272,0.085,0.252,0.331,0.289,0.272,0.38,0.414,0.292,0.295,0.331,0.329,0.292,0.054,0.269,0.357,0.38,0.122,0.861
1684,0.525,0.559,0.194,0.116,0.246,0.272,0.217,0.194,0.51,0.464,0.371,0.165,0.275,0.345,0.371,0.145,0.255,0.365,0.284,0.133,0.739
1685,0.22,0.289,0.239,0.126,0.472,0.39,0.308,0.239,0.302,0.39,0.264,0.346,0.497,0.233,0.264,0.101,0.101,0.283,0.503,0.145,0.774
1686,0.382,0.465,0.276,0.119,0.258,0.308,0.27,0.276,0.421,0.431,0.298,0.27,0.328,0.378,0.298,0.113,0.197,0.41,0.324,0.135,0.767
1687,0.393,0.447,0.233,0.109,0.319,0.265,0.261,0.233,0.475,0.436,0.342,0.222,0.362,0.296,0.342,0.148,0.214,0.331,0.362,0.136,0.743
1688,0.378,0.437,0.275,0.122,0.288,0.311,0.288,0.275,0.401,0.437,0.333,0.23,0.347,0.302,0.333,0.117,0.207,0.374,0.365,0.131,0.761
1689,0.305,0.394,0.273,0.096,0.333,0.301,0.309,0.273,0.39,0.44,0.28,0.28,0.39,0.301,0.28,0.103,0.181,0.355,0.418,0.131,0.801
1690,0.381,0.427,0.282,0.115,0.29,0.284,0.267,0.282,0.449,0.394,0.346,0.26,0.326,0.331,0.346,0.15,0.197,0.371,0.324,0.142,0.735
1691,0.402,0.469,0.273,0.115,0.258,0.301,0.211,0.273,0.488,0.455,0.316,0.23,0.311,0.344,0.316,0.115,0.215,0.392,0.34,0.134,0.77
1692,0.397,0.464,0.278,0.12,0.258,0.306,0.211,0.278,0.483,0.45,0.316,0.234,0.311,0.344,0.316,0.115,0.211,0.392,0.34,0.139,0.766
1693,0.331,0.428,0.274,0.154,0.298,0.28,0.271,0.274,0.449,0.367,0.37,0.262,0.352,0.277,0.37,0.145,0.22,0.298,0.352,0.184,0.702
1694,0.477,0.517,0.276,0.138,0.207,0.259,0.19,0.276,0.552,0.437,0.374,0.19,0.236,0.368,0.374,0.161,0.224,0.397,0.259,0.172,0.701
1695,0.328,0.391,0.265,0.121,0.344,0.267,0.284,0.265,0.449,0.463,0.298,0.24,0.391,0.305,0.298,0.098,0.177,0.333,0.398,0.147,0.781
1696,0.319,0.393,0.274,0.104,0.333,0.278,0.336,0.274,0.386,0.407,0.31,0.283,0.393,0.281,0.31,0.122,0.202,0.331,0.409,0.135,0.773
1697,0.333,0.406,0.238,0.111,0.356,0.284,0.28,0.238,0.437,0.469,0.262,0.268,0.41,0.312,0.262,0.098,0.165,0.337,0.425,0.142,0.791
1698,0.333,0.385,0.277,0.132,0.338,0.258,0.274,0.277,0.468,0.44,0.312,0.248,0.378,0.3,0.312,0.102,0.173,0.336,0.388,0.154,0.766
1699,0.353,0.413,0.202,0.106,0.385,0.267,0.292,0.202,0.441,0.499,0.277,0.224,0.426,0.305,0.277,0.098,0.164,0.325,0.418,0.126,0.796
1700,0.325,0.391,0.285,0.051,0.325,0.354,0.314,0.285,0.332,0.609,0.161,0.23,0.38,0.427,0.161,0.058,0.131,0.464,0.412,0.08,0.891
1701,0.33,0.395,0.224,0.095,0.381,0.303,0.305,0.224,0.392,0.486,0.265,0.249,0.433,0.316,0.265,0.102,0.159,0.349,0.419,0.111,0.803
1702,0.331,0.414,0.247,0.126,0.338,0.222,0.275,0.247,0.503,0.515,0.275,0.21,0.407,0.313,0.275,0.104,0.167,0.338,0.412,0.157,0.77
1703,0.355,0.412,0.239,0.109,0.348,0.297,0.264,0.239,0.439,0.454,0.303,0.243,0.388,0.32,0.303,0.132,0.171,0.346,0.377,0.134,0.759
1704,0.29,0.359,0.285,0.107,0.356,0.298,0.343,0.285,0.359,0.4,0.305,0.296,0.41,0.28,0.305,0.127,0.176,0.333,0.415,0.136,0.766
1705,0.348,0.405,0.223,0.111,0.373,0.257,0.318,0.223,0.425,0.477,0.32,0.202,0.414,0.305,0.32,0.15,0.173,0.33,0.375,0.125,0.739
1706,0.349,0.414,0.231,0.108,0.355,0.256,0.256,0.231,0.488,0.485,0.269,0.247,0.42,0.315,0.269,0.123,0.164,0.352,0.417,0.13,0.769
1707,0.313,0.344,0.298,0.115,0.359,0.282,0.229,0.298,0.489,0.435,0.344,0.221,0.374,0.298,0.344,0.153,0.153,0.321,0.359,0.168,0.733
1708,0.375,0.479,0.217,0.109,0.303,0.285,0.315,0.217,0.401,0.333,0.367,0.3,0.375,0.285,0.367,0.146,0.243,0.326,0.348,0.127,0.745
1709,0.382,0.442,0.231,0.101,0.327,0.327,0.327,0.231,0.346,0.431,0.314,0.254,0.357,0.316,0.314,0.11,0.193,0.357,0.369,0.124,0.79
1710,0.352,0.443,0.24,0.125,0.318,0.206,0.255,0.24,0.539,0.451,0.318,0.232,0.398,0.302,0.318,0.159,0.206,0.315,0.38,0.161,0.716
1711,0.33,0.364,0.273,0.17,0.364,0.205,0.25,0.273,0.545,0.466,0.386,0.148,0.386,0.273,0.386,0.17,0.148,0.318,0.341,0.17,0.659
1712,0.324,0.371,0.18,0.086,0.449,0.269,0.276,0.18,0.455,0.551,0.249,0.2,0.484,0.298,0.249,0.11,0.133,0.32,0.453,0.098,0.804
1713,0.388,0.452,0.255,0.11,0.293,0.297,0.255,0.255,0.449,0.414,0.297,0.289,0.338,0.308,0.297,0.106,0.209,0.35,0.395,0.148,0.783
1714,0.331,0.396,0.214,0.078,0.39,0.351,0.396,0.214,0.253,0.461,0.247,0.292,0.455,0.286,0.247,0.071,0.188,0.338,0.468,0.084,0.851
1715,0.276,0.396,0.299,0.097,0.306,0.351,0.299,0.299,0.351,0.455,0.291,0.254,0.366,0.351,0.291,0.134,0.172,0.41,0.358,0.112,0.769
1716,0.297,0.385,0.267,0.128,0.348,0.247,0.304,0.267,0.449,0.463,0.3,0.238,0.405,0.291,0.3,0.115,0.183,0.311,0.41,0.159,0.758
1717,0.392,0.449,0.27,0.147,0.281,0.278,0.242,0.27,0.481,0.428,0.348,0.224,0.324,0.313,0.348,0.114,0.202,0.346,0.339,0.17,0.739
1718,0.435,0.497,0.245,0.109,0.259,0.259,0.184,0.245,0.558,0.476,0.354,0.17,0.293,0.327,0.354,0.163,0.238,0.354,0.32,0.15,0.728
1719,0.399,0.453,0.24,0.097,0.307,0.319,0.259,0.24,0.423,0.483,0.271,0.246,0.345,0.38,0.271,0.099,0.168,0.412,0.349,0.113,0.804
1720,0.373,0.389,0.241,0.129,0.37,0.26,0.257,0.241,0.483,0.429,0.357,0.213,0.382,0.298,0.357,0.169,0.157,0.335,0.345,0.138,0.702
1721,0.391,0.447,0.232,0.132,0.321,0.241,0.247,0.232,0.512,0.482,0.324,0.194,0.365,0.329,0.324,0.118,0.188,0.344,0.347,0.147,0.75
1722,0.339,0.406,0.206,0.085,0.388,0.267,0.339,0.206,0.394,0.43,0.255,0.315,0.442,0.291,0.255,0.133,0.182,0.309,0.455,0.121,0.782
1723,0.345,0.422,0.242,0.104,0.336,0.311,0.298,0.242,0.391,0.418,0.307,0.275,0.385,0.309,0.307,0.112,0.198,0.346,0.384,0.119,0.784
1724,0.385,0.452,0.258,0.114,0.29,0.246,0.246,0.258,0.509,0.444,0.323,0.233,0.35,0.34,0.323,0.124,0.201,0.362,0.337,0.146,0.762
1725,0.297,0.354,0.173,0.084,0.473,0.232,0.305,0.173,0.462,0.57,0.227,0.203,0.524,0.286,0.227,0.095,0.135,0.289,0.486,0.103,0.822
1726,0.374,0.432,0.228,0.122,0.341,0.259,0.309,0.228,0.432,0.482,0.324,0.194,0.381,0.333,0.324,0.127,0.18,0.343,0.343,0.137,0.751
1727,0.357,0.412,0.239,0.111,0.349,0.236,0.269,0.239,0.495,0.48,0.309,0.211,0.397,0.309,0.309,0.128,0.186,0.327,0.382,0.138,0.761
1728,0.39,0.434,0.208,0.101,0.358,0.22,0.27,0.208,0.509,0.447,0.34,0.214,0.384,0.289,0.34,0.132,0.208,0.296,0.371,0.138,0.767
1729,0.363,0.445,0.26,0.115,0.295,0.285,0.282,0.26,0.433,0.443,0.291,0.266,0.363,0.346,0.291,0.095,0.2,0.365,0.363,0.14,0.79
1730,0.393,0.458,0.274,0.114,0.269,0.308,0.234,0.274,0.458,0.378,0.368,0.254,0.308,0.303,0.368,0.154,0.244,0.358,0.328,0.129,0.731
