CLASS,Molecular Weight,Aromaticity,Isoelectric Point,Gravy,Helix,Turn,Sheet,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
nonDRNA,29431.0391,0.10769230800000001,6.891636847999999,-0.540769231,0.288461538,0.265384615,0.215384615,5.77,1.92,6.15,5.77,4.62,7.69,5.0,4.23,6.92,8.46,1.54,3.46,8.46,2.69,4.62,6.92,4.23,5.38,3.08,3.08
nonDRNA,50281.8044,0.069565217,5.61054287,-0.183478261,0.304347826,0.230434783,0.26956521699999997,8.91,0.22,5.87,6.74,3.04,9.78,1.96,7.83,4.57,8.7,2.61,3.48,5.43,3.7,6.09,4.35,5.87,6.96,0.22,3.7
nonDRNA,47239.4011,0.072234763,4.636834145,0.118510158,0.306997743,0.20993228,0.338600451,14.0,0.45,5.64,7.45,3.84,8.8,1.13,5.42,4.97,8.58,3.84,4.74,3.16,3.16,2.93,4.29,4.74,9.48,0.23,3.16
nonDRNA,20011.7189,0.14619883,5.18987751,-0.296491228,0.33918128700000005,0.18128655,0.304093567,6.43,2.34,5.85,10.53,6.43,5.85,2.92,5.85,7.6,9.36,4.09,1.75,3.51,1.75,4.09,7.02,2.34,4.09,2.34,5.85
nonDRNA,15531.0721,0.102941176,10.36195507,-0.522794118,0.308823529,0.16911764699999998,0.213235294,8.82,0.0,1.47,6.62,6.62,5.88,4.41,2.94,16.91,5.15,0.74,2.21,4.41,2.94,5.88,4.41,4.41,12.5,0.74,2.94
nonDRNA,20023.7726,0.14619883,5.092398643,-0.209356725,0.350877193,0.175438596,0.31578947399999996,6.43,2.34,5.26,11.11,6.43,5.85,2.92,5.85,6.43,9.94,4.09,1.75,3.51,1.17,4.68,6.43,2.92,4.68,2.34,5.85
nonDRNA,11133.2225,0.058823529000000006,6.969676781,-0.502941176,0.264705882,0.31372549,0.20588235300000002,6.86,0.0,2.94,4.9,2.94,7.84,4.9,4.9,3.92,6.86,1.96,7.84,3.92,8.82,3.92,11.76,3.92,8.82,0.0,2.94
nonDRNA,30704.8536,0.119850187,5.046131706000001,-0.25917603,0.34082397,0.18352059899999998,0.277153558,5.99,1.5,6.74,8.99,5.99,5.99,1.87,6.37,7.12,10.11,2.62,2.62,5.24,2.62,4.49,4.49,5.62,5.62,1.5,4.49
nonDRNA,19847.3553,0.12087912099999999,4.423346901,0.095054945,0.340659341,0.214285714,0.324175824,11.54,0.0,8.79,5.49,8.79,9.89,0.55,3.85,4.95,13.19,2.2,2.75,4.4,3.3,3.3,4.4,4.4,4.95,1.65,1.65
nonDRNA,52132.9914,0.137472284,5.176690865,-0.513968958,0.332594235,0.21286031,0.250554324,6.65,0.22,7.98,7.76,5.1,8.2,3.33,6.43,6.21,8.43,2.22,4.88,4.21,2.22,4.88,3.99,3.99,4.66,2.66,5.99
nonDRNA,46895.7424,0.112440191,5.407229805,-0.238995215,0.306220096,0.21291866,0.29186602899999997,10.05,0.72,5.74,8.13,6.22,8.61,3.83,5.5,4.31,8.13,2.87,2.39,5.98,3.11,5.5,4.31,3.83,5.74,2.15,2.87
nonDRNA,80080.2833,0.058265582999999996,4.715328789,-0.215853659,0.284552846,0.208672087,0.323848238,12.47,0.27,7.86,7.86,2.98,6.91,2.03,5.69,5.56,10.03,2.03,4.74,3.93,3.25,4.07,5.28,5.28,6.91,1.22,1.63
nonDRNA,37345.9545,0.086567164,6.0927648539999995,-0.070149254,0.337313433,0.202985075,0.274626866,7.16,0.3,5.37,8.66,4.18,9.25,0.9,8.96,8.36,7.76,3.88,2.09,3.28,2.39,5.07,5.67,3.88,8.36,1.19,3.28
nonDRNA,131916.2109,0.101232394,9.415494727999999,-0.499207746,0.322183099,0.190140845,0.26056338,6.78,1.58,4.4,7.83,4.75,4.23,1.94,5.99,9.51,9.95,1.5,5.55,2.9,4.67,6.78,6.34,3.79,6.16,1.32,4.05
nonDRNA,148271.4137,0.101123596,9.436769295,-0.818726592,0.256179775,0.269662921,0.16928839,7.72,0.0,4.79,3.0,2.25,6.44,1.27,3.97,9.51,5.39,0.82,9.36,3.67,7.64,1.8,7.49,10.86,6.14,1.35,6.52
nonDRNA,137382.4339,0.097929936,9.594587898,-0.615366242,0.268312102,0.266719745,0.17754777100000002,9.39,0.08,4.3,2.63,2.23,7.17,1.27,3.98,10.27,4.86,0.88,8.6,4.94,5.81,1.43,5.97,10.43,8.2,1.43,6.13
nonDRNA,17752.3034,0.049079755,8.082288551,-0.170552147,0.251533742,0.202453988,0.294478528,9.82,5.52,1.84,7.98,2.45,9.2,3.68,4.29,5.52,8.59,3.07,4.91,3.07,4.29,5.52,3.07,7.36,7.36,0.0,2.45
nonDRNA,39216.5288,0.058171745,5.6279356,-0.113019391,0.293628809,0.19667590000000001,0.25761772899999996,9.7,0.28,6.65,6.65,2.77,9.42,2.77,9.42,6.93,6.09,3.32,2.77,3.88,3.32,3.88,3.6,7.48,8.03,1.11,1.94
nonDRNA,18088.4772,0.064516129,6.7137876510000005,-0.496129032,0.283870968,0.15483871,0.264516129,9.03,5.16,6.45,5.81,5.16,2.58,1.29,5.81,0.65,10.97,0.65,5.81,6.45,13.55,11.61,0.65,1.94,5.16,1.29,0.0
nonDRNA,44457.8101,0.118090452,5.418483925,-0.318341709,0.324120603,0.266331658,0.22361809,5.78,1.51,6.78,4.77,4.02,8.54,2.26,6.03,6.53,10.05,1.76,4.27,6.03,3.77,2.51,7.79,5.28,4.52,2.01,5.78
nonDRNA,29133.9759,0.09469697,8.585593224,-0.159090909,0.340909091,0.276515152,0.223484848,4.92,1.52,6.82,2.27,3.79,10.98,2.65,4.17,6.06,13.26,1.89,6.44,3.41,3.41,4.17,6.82,4.55,7.2,2.27,3.41
nonDRNA,364515.2115,0.07752877,5.245466041999999,-0.198546336,0.31405209,0.228346457,0.279527559,7.84,0.91,3.91,7.63,3.48,7.36,2.09,5.51,4.85,10.87,1.61,3.69,4.27,7.27,3.63,7.51,6.03,7.27,1.39,2.88
nonDRNA,39356.3129,0.063186813,5.38614254,-0.009340659,0.315934066,0.22802197800000001,0.271978022,11.26,1.1,6.04,4.95,3.57,7.14,2.47,6.59,4.4,9.34,1.65,6.04,4.12,5.49,3.85,5.49,4.4,9.34,0.55,2.2
nonDRNA,20893.986,0.097087379,5.691822623999999,-0.083009709,0.208737864,0.344660194,0.21359223300000002,11.65,4.85,2.91,2.43,6.31,15.05,1.94,1.46,2.91,5.34,1.94,4.37,5.83,5.34,0.97,9.22,9.71,4.37,1.46,1.94
nonDRNA,802586.793,0.11524526199999999,6.466538047999999,0.049972129,0.351031215,0.210562988,0.229236343,7.08,3.97,5.88,4.31,5.38,5.85,1.8,4.03,6.08,9.14,2.4,4.78,3.48,3.11,3.62,6.94,5.6,10.41,1.3,4.85
nonDRNA,58978.9121,0.09393346400000001,5.201358986,-0.278277886,0.344422701,0.180039139,0.283757339,5.48,0.2,6.07,9.59,3.52,5.09,1.96,7.63,5.48,9.78,3.52,3.52,3.91,2.74,6.65,5.48,5.87,7.63,0.98,4.89
nonDRNA,16581.833,0.06,4.871920203999999,0.018666667,0.333333333,0.226666667,0.32,6.67,1.33,4.0,10.67,2.67,9.33,2.0,6.67,2.67,10.67,4.0,5.33,2.67,1.33,6.67,5.33,4.67,10.0,0.67,2.67
nonDRNA,63542.729,0.10752688199999999,5.8174936289999994,-0.317383513,0.32437276,0.20609319,0.274193548,6.81,1.08,5.02,8.24,5.2,6.09,2.33,6.27,7.53,10.04,2.33,4.3,3.23,4.3,3.94,6.99,5.38,5.38,1.61,3.94
nonDRNA,51052.4885,0.10845987,5.981928825,-0.237310195,0.30368763600000004,0.23427331899999998,0.26681128,8.46,2.39,5.86,6.07,4.56,7.16,2.17,3.69,7.81,9.33,2.82,3.9,3.47,2.82,2.82,8.89,4.99,6.51,0.43,5.86
nonDRNA,36330.3669,0.088685015,4.674461555,-0.022018349,0.318042813,0.214067278,0.27522935800000004,8.56,3.36,7.34,6.12,4.28,5.81,0.92,3.98,5.2,8.87,3.98,6.73,5.2,1.83,3.67,3.67,5.81,10.09,2.14,2.45
nonDRNA,75872.3959,0.074294205,5.417119789,-0.451560178,0.280832095,0.17087667199999998,0.29717682,8.62,0.89,8.47,8.17,3.71,6.69,1.93,6.98,7.73,9.81,3.12,2.23,2.23,4.01,6.24,5.94,5.65,3.86,0.3,3.42
nonDRNA,11395.0089,0.08411215,6.248503685,0.108411215,0.289719626,0.24299065399999997,0.299065421,14.95,3.74,1.87,5.61,2.8,10.28,2.8,7.48,3.74,7.48,1.87,4.67,7.48,4.67,2.8,1.87,4.67,5.61,1.87,3.74
nonDRNA,97147.4192,0.10271546599999999,6.70935421,-0.32325856,0.335301063,0.194805195,0.265643447,6.97,0.83,6.26,6.97,4.72,5.67,2.24,6.49,7.67,9.92,2.72,5.9,3.78,3.42,5.19,4.13,4.72,6.85,1.42,4.13
nonDRNA,34855.3776,0.048484848,7.82983036,-0.039090909,0.27878787899999996,0.24242424199999998,0.284848485,12.12,0.0,3.94,5.76,2.42,7.58,1.52,5.76,7.27,7.88,2.73,5.15,3.33,3.33,2.73,8.18,8.48,9.39,0.3,2.12
nonDRNA,51215.4649,0.098739496,5.54750843,-0.270588235,0.264705882,0.289915966,0.24789916,12.61,2.1,3.99,3.78,2.73,7.35,1.47,3.99,2.52,7.35,1.05,6.72,6.93,4.41,3.78,7.98,8.82,5.25,2.52,4.62
nonDRNA,47874.4951,0.116113744,6.015520668,-0.154028436,0.334123223,0.220379147,0.234597156,5.92,1.42,5.69,5.45,6.87,6.87,3.08,4.98,5.21,8.77,3.32,2.61,6.64,5.92,4.27,5.92,4.27,8.06,1.9,2.84
nonDRNA,66912.8739,0.031446541,6.554070091,0.143396226,0.279874214,0.22012578600000002,0.297169811,12.58,2.99,5.19,4.87,1.73,9.12,2.99,6.76,5.5,9.43,2.83,4.25,4.72,2.67,3.93,3.93,6.45,8.65,0.63,0.79
nonDRNA,34344.771,0.076923077,5.500786781,0.061230769,0.32,0.24,0.295384615,12.31,0.62,4.92,5.54,2.77,10.46,1.23,3.69,5.54,10.46,1.23,2.46,4.92,4.0,3.38,6.15,5.23,10.15,0.92,4.0
nonDRNA,52489.4982,0.10064239800000001,5.962319374,-0.281584582,0.308351178,0.18843683100000003,0.28479657399999997,10.28,1.07,6.21,7.71,4.71,7.07,2.36,7.07,7.49,7.49,3.0,4.07,4.28,3.0,4.93,3.43,4.28,6.21,0.43,4.93
nonDRNA,28656.3808,0.067164179,9.85697422,-0.066791045,0.27985074600000004,0.28358209,0.223880597,10.82,1.49,2.99,1.87,0.75,7.09,0.75,5.6,3.36,7.09,2.61,3.73,5.22,4.85,6.34,12.31,8.58,8.58,1.87,4.1
nonDRNA,22886.8476,0.06829268299999999,8.428032494,0.06195122,0.341463415,0.156097561,0.336585366,10.24,0.98,3.41,10.24,2.44,7.8,1.95,7.32,7.8,8.78,4.39,0.49,5.85,1.46,6.83,1.46,2.93,11.22,0.49,3.9
nonDRNA,11179.7103,0.070707071,6.074007987999999,-0.388888889,0.262626263,0.181818182,0.272727273,7.07,2.02,8.08,6.06,7.07,6.06,2.02,8.08,9.09,10.1,4.04,5.05,2.02,6.06,4.04,5.05,7.07,1.01,0.0,0.0
nonDRNA,22607.6027,0.070351759,6.914429283,-0.387939698,0.29145728600000004,0.16582914599999998,0.27135678399999996,6.53,2.01,5.03,10.05,3.52,6.53,2.01,6.53,7.04,8.04,2.51,2.51,1.51,3.02,8.04,6.03,8.04,7.54,1.01,2.51
nonDRNA,15867.3997,0.046052632,5.6225358960000005,-0.466447368,0.236842105,0.335526316,0.17105263199999998,5.26,1.97,8.55,4.61,3.29,17.11,5.92,7.89,6.58,5.92,1.32,5.92,4.61,2.63,1.97,5.92,3.95,5.26,0.0,1.32
nonDRNA,29314.0758,0.092369478,8.119228935,-0.702409639,0.30522088399999997,0.172690763,0.240963855,3.21,2.41,5.62,9.24,3.61,4.82,3.61,6.83,8.84,10.04,1.61,3.61,2.41,5.62,6.83,6.43,5.22,4.42,0.8,4.82
nonDRNA,6668.7092,0.050847458,11.3178278,-1.371186441,0.13559322,0.20338983100000002,0.22033898300000002,15.25,0.0,1.69,0.0,1.69,5.08,10.17,1.69,22.03,5.08,1.69,6.78,5.08,1.69,6.78,3.39,6.78,1.69,0.0,3.39
nonDRNA,29366.4592,0.078947368,8.829283713999999,-0.119924812,0.319548872,0.233082707,0.270676692,11.65,0.75,4.14,4.51,3.01,4.89,0.0,7.14,5.26,9.77,1.13,3.38,7.89,9.77,4.51,7.14,3.01,7.14,3.01,1.88
nonDRNA,13744.7687,0.10924369699999999,8.776613045,-0.361344538,0.319327731,0.16806722699999999,0.27731092399999996,9.24,0.0,5.88,9.24,5.88,3.36,1.68,8.4,10.08,5.88,3.36,1.68,5.88,1.68,6.72,5.88,3.36,6.72,0.0,5.04
nonDRNA,21294.0077,0.07853403099999999,4.967523384,-0.251308901,0.287958115,0.178010471,0.277486911,10.47,1.57,9.42,5.76,3.66,6.28,3.14,5.24,5.76,7.33,4.19,3.14,4.71,4.71,4.19,3.66,4.19,8.38,1.57,2.62
nonDRNA,36245.5758,0.07079646,5.256435966000001,-0.087315634,0.277286136,0.241887906,0.286135693,12.68,0.29,6.19,6.19,3.83,8.55,3.83,5.31,4.42,6.49,3.24,2.95,5.9,2.95,3.54,6.78,4.72,8.85,0.88,2.36
nonDRNA,36246.1448,0.061046512000000004,5.761961937000001,0.058139535,0.302325581,0.25,0.235465116,9.88,1.74,6.4,4.07,3.2,12.5,2.33,5.52,4.94,7.27,2.33,3.78,5.81,3.49,3.78,2.91,5.81,11.34,1.16,1.74
nonDRNA,35251.0316,0.063829787,5.888769722,-0.020668693,0.282674772,0.23404255300000001,0.294832827,13.37,0.61,6.38,3.95,3.04,8.51,1.82,6.99,5.17,8.21,3.95,5.17,4.86,3.95,3.95,4.86,5.17,6.69,1.22,2.13
nonDRNA,86442.757,0.058898848,8.297806357999999,-0.645070423,0.24199743899999998,0.26504481399999996,0.259923175,7.04,2.18,3.97,8.71,2.69,7.81,2.43,3.97,6.27,9.09,1.15,2.43,7.68,5.89,7.04,8.58,4.61,5.25,0.77,2.43
nonDRNA,54763.1245,0.11313131300000001,9.503042792999999,-0.589494949,0.264646465,0.268686869,0.16969697,8.69,1.21,4.24,3.43,3.43,9.49,2.63,5.66,9.09,3.03,1.82,6.46,5.05,4.44,3.23,5.86,7.88,6.46,2.42,5.45
nonDRNA,54740.0878,0.11313131300000001,9.503042792999999,-0.590707071,0.264646465,0.270707071,0.171717172,8.69,1.21,4.04,3.64,3.43,9.49,2.42,5.45,9.09,3.03,1.82,6.67,5.05,4.44,3.23,5.86,7.88,6.67,2.42,5.45
nonDRNA,48847.1782,0.130841121,4.976333427,-0.348130841,0.33177570100000003,0.224299065,0.21728972,5.37,2.8,7.71,6.31,5.84,7.48,4.44,5.14,3.5,8.18,1.87,4.91,4.91,3.97,4.21,5.14,4.21,6.78,0.47,6.78
nonDRNA,37183.0157,0.093373494,5.807831001,-0.26686747,0.292168675,0.18373494,0.292168675,9.34,0.9,4.82,8.73,5.12,9.34,4.82,6.02,4.52,7.53,3.61,2.71,5.12,3.01,5.72,1.2,6.93,6.33,0.6,3.61
nonDRNA,23667.9294,0.101449275,9.151819038,-0.380676329,0.309178744,0.193236715,0.222222222,6.28,1.45,7.25,5.8,6.28,6.76,0.48,9.18,9.66,7.25,2.9,5.8,0.97,3.38,6.28,5.8,6.28,4.35,0.97,2.9
nonDRNA,44135.6375,0.079800499,6.056899452000001,-0.25361596,0.294264339,0.21695760600000003,0.27182044899999996,9.98,1.75,6.73,5.74,2.24,7.98,3.99,3.99,4.74,9.48,2.0,2.99,5.99,1.75,5.74,4.74,6.48,7.98,1.5,4.24
nonDRNA,22968.3809,0.093137255,4.293924522,-0.313235294,0.318627451,0.269607843,0.254901961,5.39,1.47,6.37,9.31,4.41,3.92,1.47,4.41,2.94,8.33,2.45,7.84,6.86,3.43,3.43,8.33,4.9,9.8,1.47,3.43
nonDRNA,44175.2478,0.056097561,5.920713234,0.025121951,0.312195122,0.234146341,0.31707317100000004,10.98,0.98,4.63,6.59,3.17,8.29,3.17,6.83,5.61,11.95,2.2,5.12,4.15,3.17,3.66,5.85,4.39,6.83,0.24,2.2
nonDRNA,34026.8278,0.09508196699999999,4.932226372,-0.334754098,0.31147541,0.226229508,0.268852459,7.87,0.66,9.18,6.56,3.61,10.82,4.92,5.25,2.95,9.84,2.62,2.95,5.57,2.95,5.57,3.28,2.95,6.56,1.97,3.93
nonDRNA,44142.3966,0.074626866,5.701939964,-0.300497512,0.286069652,0.23134328399999998,0.281094527,9.95,1.74,6.72,6.22,1.49,8.71,4.23,4.48,3.98,9.7,2.24,3.73,5.72,1.74,5.72,4.98,5.72,6.97,1.49,4.48
nonDRNA,6026.6889,0.111111111,4.124601173,-0.524074074,0.25925925899999996,0.240740741,0.222222222,5.56,7.41,12.96,11.11,3.7,9.26,0.0,7.41,9.26,3.7,1.85,1.85,9.26,0.0,0.0,3.7,1.85,3.7,3.7,3.7
nonDRNA,96653.2734,0.077803204,5.078359413,-0.311212815,0.266590389,0.196796339,0.30778032,9.61,1.49,5.61,9.95,4.58,8.58,1.83,5.38,7.09,6.75,4.46,3.2,4.12,3.2,4.46,3.78,5.95,6.75,0.57,2.63
nonDRNA,14303.2272,0.09401709400000001,10.31740742,-0.716239316,0.316239316,0.102564103,0.264957265,6.84,3.42,0.85,8.55,2.56,1.71,2.56,7.69,17.95,7.69,3.42,1.71,5.13,2.56,11.97,1.71,0.0,6.84,0.85,5.98
nonDRNA,50277.6627,0.10135135099999999,5.052497673,-0.304054054,0.315315315,0.21621621600000002,0.288288288,7.43,1.13,5.86,9.91,6.08,6.31,2.48,6.08,6.53,8.78,2.7,5.18,5.41,2.03,4.5,4.73,4.28,6.53,0.9,3.15
nonDRNA,36197.9152,0.074766355,5.60207386,-0.321806854,0.295950156,0.152647975,0.308411215,8.72,0.62,7.79,8.1,4.36,6.23,1.56,5.61,6.85,10.9,3.12,2.18,1.56,3.43,7.17,5.3,7.79,5.61,0.31,2.8
nonDRNA,41980.4899,0.077120823,5.574165916,0.036760925,0.331619537,0.262210797,0.29820051399999997,10.03,0.51,4.88,6.94,3.6,9.51,1.29,3.6,3.08,10.8,2.06,2.83,5.66,2.06,7.2,8.23,2.57,11.05,0.77,3.34
nonDRNA,21404.5233,0.074468085,9.778838539,-0.607446809,0.260638298,0.25,0.23404255300000001,6.91,3.19,2.66,6.91,2.66,5.85,1.06,4.79,7.45,7.45,2.13,4.79,8.51,4.79,9.04,5.85,4.79,6.38,2.66,2.13
nonDRNA,99985.6869,0.077181208,5.248649025,-0.441722595,0.288590604,0.232662192,0.21140939600000003,4.59,2.91,6.82,6.94,3.8,6.6,2.24,5.93,6.15,8.28,1.34,4.7,5.26,5.26,4.36,6.71,7.27,6.94,0.56,3.36
nonDRNA,61804.0901,0.061538462,5.5243749620000004,-0.136068376,0.247863248,0.24444444399999998,0.276923077,14.53,1.2,6.15,3.76,3.08,7.52,1.88,2.74,1.37,7.52,1.88,1.54,9.91,4.79,6.67,5.47,8.55,8.38,1.03,2.05
nonDRNA,28479.9474,0.102661597,6.435617637999999,-0.113688213,0.30798479100000004,0.262357414,0.285171103,11.03,1.14,5.32,4.94,2.28,12.17,1.52,4.18,3.04,9.51,3.04,2.66,3.42,2.28,6.84,7.98,3.8,6.84,1.52,6.46
nonDRNA,28609.002,0.102661597,6.963197136000001,-0.147908745,0.30798479100000004,0.262357414,0.273764259,10.65,1.14,5.7,4.94,2.28,11.41,1.9,4.56,3.04,9.13,2.66,2.28,3.04,1.52,7.6,9.51,3.8,6.84,1.52,6.46
nonDRNA,76714.5072,0.064935065,6.4207826610000005,-0.161327561,0.314574315,0.22799422800000002,0.23953824,5.63,1.88,4.91,7.79,4.18,7.5,2.45,7.79,6.93,8.66,1.88,3.9,5.48,3.03,5.05,5.92,6.2,8.51,0.43,1.88
nonDRNA,22981.898,0.130653266,5.704156685,-0.482914573,0.316582915,0.24120603,0.24120603,5.53,1.51,5.53,8.04,6.53,6.03,1.51,4.52,7.04,8.54,2.01,3.52,7.54,4.52,5.03,7.04,3.52,5.53,3.52,3.02
nonDRNA,18887.3512,0.071005917,6.292724419,-0.137869822,0.295857988,0.165680473,0.313609467,13.61,1.18,8.28,5.92,4.14,7.1,5.33,8.28,2.37,8.88,2.96,2.96,2.96,1.18,10.06,3.55,2.96,5.33,0.59,2.37
nonDRNA,77859.6394,0.092647059,6.259530449,-0.395294118,0.308823529,0.2,0.269117647,6.03,1.62,6.18,7.35,3.53,4.85,2.21,6.62,9.26,10.29,3.24,4.12,4.12,4.12,3.38,6.91,5.74,4.71,2.5,3.24
nonDRNA,23406.6201,0.08450704199999999,5.786914253,-0.125821596,0.338028169,0.230046948,0.286384977,8.45,0.94,5.63,8.45,4.23,5.63,2.35,3.29,10.8,11.27,0.47,3.29,6.1,0.94,1.41,7.98,3.76,10.8,1.88,2.35
nonDRNA,30634.4278,0.075,5.167482948,-0.096071429,0.314285714,0.19642857100000002,0.292857143,10.36,1.07,8.57,4.64,2.86,10.0,2.14,2.5,1.07,12.14,2.14,2.5,5.0,2.5,8.93,2.14,7.5,9.29,1.43,3.21
nonDRNA,109884.0236,0.094512195,6.030924034,-0.214430894,0.296747967,0.239837398,0.234756098,7.72,2.64,5.18,5.89,4.07,5.69,1.32,6.1,4.17,6.81,3.05,4.27,5.59,3.56,6.1,8.43,6.71,7.32,1.42,3.96
nonDRNA,23640.7253,0.093896714,5.559217262000001,-0.172769953,0.333333333,0.244131455,0.262910798,6.57,0.94,6.57,7.04,5.16,5.63,4.23,4.69,8.92,11.74,0.94,2.82,7.04,1.88,0.94,8.92,4.23,7.51,1.88,2.35
nonDRNA,23533.0611,0.08490566,5.894737816,-0.070283019,0.349056604,0.22641509399999998,0.287735849,8.02,1.42,5.19,8.49,4.72,5.66,2.83,6.6,10.38,11.79,0.47,3.77,8.02,1.42,1.42,5.19,2.83,8.02,1.89,1.89
nonDRNA,17953.1218,0.051724137999999996,8.105561638,0.752298851,0.362068966,0.212643678,0.425287356,18.97,0.0,4.6,2.87,1.72,10.92,1.15,5.75,2.3,17.24,3.45,2.3,5.17,0.57,5.75,2.87,2.87,8.05,1.72,1.72
nonDRNA,94496.3547,0.041331803,7.446442222999999,-0.657979334,0.214695752,0.299655568,0.287026406,9.18,1.26,4.71,6.43,1.38,7.58,3.9,1.61,4.71,11.25,1.84,2.76,10.56,5.63,6.43,9.07,4.48,4.48,0.92,1.84
nonDRNA,15617.7617,0.08510638300000001,5.624127388,-0.082269504,0.290780142,0.177304965,0.326241135,14.89,0.0,7.09,7.8,6.38,4.96,2.13,7.8,6.38,5.67,4.26,3.55,4.26,1.42,6.38,4.96,2.84,7.09,0.0,2.13
nonDRNA,13193.0568,0.085470085,8.285041618,-0.279487179,0.290598291,0.21367521399999997,0.222222222,5.98,4.27,7.69,4.27,2.56,5.98,0.85,4.27,6.84,7.69,4.27,2.56,3.42,3.42,6.84,9.4,5.13,8.55,1.71,4.27
nonDRNA,83090.0899,0.13091922,5.34339962,-0.449582173,0.348189415,0.242339833,0.224233983,3.9,0.7,6.27,7.24,5.57,7.52,1.53,6.13,5.71,9.19,2.09,7.1,4.87,3.48,5.43,4.74,4.6,6.41,2.09,5.43
nonDRNA,40294.0334,0.101092896,7.104271507000001,-0.281693989,0.31420765,0.28961748600000004,0.204918033,7.1,0.55,5.74,5.46,5.19,10.38,2.19,5.46,5.19,6.28,1.64,5.46,5.19,2.73,6.01,7.92,3.01,9.56,2.19,2.73
nonDRNA,51386.0652,0.14932126699999998,5.273146629,-0.574434389,0.316742081,0.22398189999999998,0.246606335,7.24,1.81,5.88,8.6,5.88,4.07,2.26,5.2,8.14,7.24,1.58,6.11,4.52,2.94,2.94,7.69,4.52,4.3,2.71,6.33
nonDRNA,40765.3905,0.082417582,6.459262657000001,-0.056868132,0.324175824,0.20604395600000003,0.32967033,12.36,2.2,5.77,4.67,3.02,5.49,2.2,6.32,1.37,14.29,1.65,4.67,5.77,4.4,8.52,4.67,3.85,3.57,2.2,3.02
nonDRNA,40035.4355,0.11898017,9.411691093,-0.288951841,0.305949008,0.271954674,0.16997167100000002,4.53,1.98,1.7,3.68,8.22,7.08,3.68,5.67,3.97,5.67,3.12,6.52,7.93,8.78,4.53,5.67,6.23,7.37,0.85,2.83
nonDRNA,38614.2025,0.043478261,5.349083519,-0.151014493,0.34202898600000003,0.18840579699999999,0.313043478,5.8,0.58,2.9,11.59,2.03,7.83,1.74,10.14,6.96,12.17,1.74,4.64,2.9,6.38,4.64,3.48,4.64,7.54,0.29,2.03
nonDRNA,16964.8945,0.081761006,8.600872231,-0.511320755,0.22641509399999998,0.245283019,0.150943396,5.66,4.4,6.29,3.77,1.26,11.32,1.89,3.14,11.95,4.4,1.26,3.14,2.52,0.63,0.63,7.55,16.35,6.92,1.89,5.03
nonDRNA,57342.5112,0.103379722,8.271761131,-0.039960239,0.35785288299999995,0.218687873,0.256461233,3.98,1.39,5.17,6.16,6.36,5.17,1.59,5.96,7.55,11.73,3.78,3.58,6.96,2.98,4.37,6.16,5.37,7.75,0.8,3.18
nonDRNA,28864.3728,0.073929961,5.236599159,-0.390272374,0.295719844,0.19844358,0.30739299600000003,9.34,1.17,6.23,8.56,1.95,7.0,2.72,5.45,5.06,10.51,2.33,5.45,4.28,3.11,5.84,3.11,6.23,6.23,1.95,3.5
nonDRNA,25362.6574,0.13963964,7.740072441000001,-0.34954955,0.369369369,0.225225225,0.23423423399999999,6.76,0.0,6.31,5.41,4.95,7.21,0.9,6.31,9.01,10.81,0.45,5.86,5.86,3.6,3.15,3.6,4.95,5.86,1.8,7.21
nonDRNA,31462.4283,0.124113475,6.542247581,-0.30106383,0.304964539,0.24822695,0.216312057,7.45,3.19,6.03,4.26,5.32,8.16,3.55,5.32,7.8,8.16,1.77,3.9,5.67,4.26,1.77,7.09,4.61,4.61,1.77,5.32
nonDRNA,69842.3338,0.113522538,5.321630287,-0.427712855,0.332220367,0.19866444100000002,0.26544240399999997,4.84,1.17,6.84,8.18,5.01,4.17,2.67,4.84,5.34,10.85,2.67,3.84,3.51,4.17,6.18,8.35,4.84,6.18,2.34,4.01
nonDRNA,23849.5297,0.11004784699999999,6.905278206,-0.090430622,0.349282297,0.17224880399999998,0.31578947399999996,9.57,1.44,3.83,7.66,4.78,4.31,1.91,6.7,8.61,11.48,2.87,4.78,5.26,3.83,2.87,2.87,5.26,5.74,1.44,4.78
nonDRNA,23921.599,0.11004784699999999,7.676810646,-0.111483254,0.349282297,0.17224880399999998,0.311004785,9.09,1.44,3.83,7.66,4.78,4.31,1.91,6.22,8.13,11.48,2.87,4.78,5.26,3.35,3.83,2.87,5.74,6.22,1.44,4.78
nonDRNA,37489.3638,0.069277108,8.10388546,-0.729216867,0.234939759,0.219879518,0.231927711,5.12,4.22,5.12,9.34,3.01,6.02,3.01,3.92,11.75,6.63,2.11,3.92,5.42,3.31,3.61,6.63,6.93,6.02,1.81,2.11
nonDRNA,20038.2488,0.068965517,5.9036615370000005,-0.181034483,0.350574713,0.149425287,0.327586207,5.17,1.15,4.02,12.07,4.02,5.17,3.45,9.2,10.92,12.07,3.45,2.3,2.87,5.17,2.87,4.6,1.72,6.9,0.0,2.87
nonDRNA,47410.8238,0.093023256,9.128159142000001,-0.230930233,0.29069767399999996,0.23720930199999998,0.260465116,10.0,1.63,4.65,5.12,4.88,8.37,2.56,4.88,6.98,8.37,2.56,3.72,4.65,4.19,5.12,6.98,4.42,6.51,1.63,2.79
