ID,PAAC1_A,PAAC1_C,PAAC1_D,PAAC1_E,PAAC1_F,PAAC1_G,PAAC1_H,PAAC1_I,PAAC1_K,PAAC1_L,PAAC1_M,PAAC1_N,PAAC1_P,PAAC1_Q,PAAC1_R,PAAC1_S,PAAC1_T,PAAC1_V,PAAC1_W,PAAC1_Y,PAAC1_lam1
Seq_722,17.0402,0.0,4.4843,12.556,3.5874,7.1748,1.7937,4.4843,11.6591,10.7623,4.4843,5.3811,5.3811,2.6906,16.1434,8.9685,4.4843,14.3497,1.7937,2.6906,0.1031
Seq_723,4.5224,0.0,1.809,6.3314,1.809,7.2359,4.5224,3.6179,11.7583,6.3314,2.7134,2.7134,3.6179,0.9045,5.4269,2.7134,6.3314,8.1403,0.9045,2.7134,0.0955
Seq_724,6.3131,3.6075,5.4112,8.1168,1.8037,6.3131,1.8037,0.9019,1.8037,1.8037,1.8037,2.7056,1.8037,0.0,4.5093,1.8037,7.2149,0.9019,0.9019,0.9019,0.0981
Seq_725,6.3254,0.0,18.9763,18.0726,5.4218,13.5545,4.5182,11.7472,3.6145,5.4218,4.5182,6.3254,6.3254,5.4218,8.1327,6.3254,12.6509,18.0726,1.8073,3.6145,0.0964
Seq_726,11.6925,0.0,4.4971,0.8994,3.5977,7.1954,1.7988,2.6983,14.3908,11.6925,4.4971,7.1954,0.8994,4.4971,11.6925,4.4971,4.4971,6.296,0.8994,3.5977,0.1006
Seq_727,70.4536,11.1243,23.1755,51.9132,16.6864,52.8402,10.1972,21.3215,13.9053,47.2781,11.1243,23.1755,66.7455,18.5404,36.1538,60.2564,31.5187,31.5187,2.7811,10.1972,0.073
Seq_728,10.746,1.791,4.4775,6.2685,2.6865,11.6415,1.791,8.0595,14.328,11.6415,1.791,1.791,6.2685,7.164,12.537,6.2685,3.582,10.746,0.0,7.164,0.1045
Seq_729,53.4633,11.78,38.0586,51.6509,34.434,39.8709,13.5924,32.6216,47.1202,64.3371,18.1231,22.6539,35.3401,27.1847,39.8709,38.9647,29.9032,48.0263,3.6246,19.0293,0.0938
Seq_730,3.5796,0.0,7.1592,6.2643,2.6847,10.7387,2.6847,3.5796,8.0541,3.5796,0.8949,2.6847,7.1592,3.5796,7.1592,3.5796,5.3694,6.2643,0.0,0.8949,0.1051
Seq_731,4.448,1.7792,2.6688,1.7792,0.8896,10.6751,2.6688,7.1167,9.7855,7.1167,0.8896,3.5584,8.0063,5.3376,14.2335,4.448,8.8959,11.5647,0.0,3.5584,0.1104
Seq_732,9.8505,0.8955,2.6865,4.4775,0.8955,10.746,2.6865,3.582,18.8056,6.2685,0.8955,2.6865,7.164,1.791,12.537,5.373,7.164,15.2235,0.0,4.4775,0.1045
Seq_733,8.8207,0.8821,9.7028,11.467,6.1745,14.1132,3.5283,9.7028,16.7594,20.2877,1.7641,3.5283,6.1745,6.1745,23.816,6.1745,4.4104,12.349,1.7641,3.5283,0.1179
Seq_734,8.0183,0.8909,0.8909,7.1274,2.6728,0.8909,0.8909,0.8909,8.0183,3.5637,0.8909,1.7819,2.6728,0.0,12.473,1.7819,2.6728,5.3456,0.0,1.7819,0.1091
Seq_735,36.9803,11.7255,38.7842,51.4116,22.549,38.7842,20.745,33.3725,36.0783,47.8038,20.745,22.549,20.745,20.745,38.7842,27.0588,21.647,36.9803,9.9215,21.647,0.098
Seq_736,70.0267,19.3495,53.4414,66.3411,24.8779,53.4414,29.4849,46.0702,53.4414,98.5902,18.4281,53.4414,90.2976,64.4983,58.0484,112.4112,64.4983,81.0835,9.214,30.4063,0.0786
Seq_737,16.4989,0.0,13.7491,15.5823,3.6664,7.3328,1.8332,4.583,4.583,7.3328,1.8332,0.9166,4.583,2.7498,2.7498,2.7498,4.583,13.7491,0.0,0.9166,0.0834
Seq_738,2.6864,0.0,1.7909,6.2683,3.5819,5.3728,1.7909,4.4773,5.3728,8.0592,0.8955,1.7909,2.6864,4.4773,5.3728,2.6864,4.4773,7.1638,0.0,2.6864,0.1045
Seq_739,11.9285,0.0,7.3406,9.1758,5.5055,5.5055,0.9176,8.2582,2.7527,19.2691,0.9176,9.1758,7.3406,5.5055,9.1758,8.2582,20.1867,11.0109,1.8352,5.5055,0.0824
Seq_740,31.5575,0.0,24.3443,16.2295,5.4098,16.2295,3.6066,4.5082,9.9181,16.2295,0.9016,4.5082,10.8197,8.1148,19.8361,13.5246,12.623,19.8361,0.0,3.6066,0.0984
Seq_741,10.1061,16.5372,7.3499,14.6997,12.8623,20.2121,10.1061,9.1873,17.4559,16.5372,7.3499,8.2686,22.0496,18.3747,11.9435,16.5372,9.1873,10.1061,1.8375,6.4311,0.0813
Seq_742,6.1231,0.0,5.2483,7.8725,0.8747,3.4989,0.8747,12.2461,5.2483,4.3736,3.4989,1.7494,4.3736,3.4989,12.2461,5.2483,6.1231,5.2483,0.8747,0.0,0.1253
Seq_743,11.7835,0.9064,1.8128,9.0642,2.7193,12.6899,2.7193,1.8128,11.7835,11.7835,2.7193,3.6257,3.6257,7.2514,9.9706,3.6257,8.1578,13.5963,0.0,0.9064,0.0936
Seq_744,8.1593,0.0,5.4395,6.3461,2.7198,4.5329,4.5329,5.4395,8.1593,8.1593,1.8132,4.5329,0.0,5.4395,2.7198,1.8132,6.3461,7.2527,0.0,2.7198,0.0934
Seq_745,9.8728,0.0,8.0778,8.9753,6.2827,11.6679,0.0,15.258,16.1555,14.3605,7.1802,7.1802,7.1802,8.9753,10.7703,7.1802,8.9753,8.9753,0.0,4.4876,0.1025
Seq_746,21.6785,0.0,4.5164,12.6458,5.4196,9.936,1.8065,6.3229,9.936,10.8393,0.9033,7.2262,2.7098,3.6131,6.3229,5.4196,6.3229,18.0655,0.0,0.9033,0.0967
Seq_747,12.8931,3.6837,9.2093,8.2884,3.6837,17.4977,5.5256,5.5256,34.9954,16.5768,4.6047,5.5256,2.7628,7.3675,1.8419,6.4465,13.814,7.3675,0.0,6.4465,0.0791
Seq_748,22.6875,0.0,15.4275,19.965,7.26,13.6125,2.7225,15.4275,12.705,24.5025,10.89,7.26,11.7975,4.5375,16.335,11.7975,8.1675,15.4275,0.9075,3.63,0.0925
Seq_749,11.5293,0.0,5.3212,5.3212,0.8869,8.8687,2.6606,4.4344,7.095,10.6424,2.6606,1.7737,2.6606,3.5475,14.1899,2.6606,7.9818,8.8687,0.0,1.7737,0.1131
Seq_750,12.7042,0.0,9.0745,14.5191,3.6298,4.5372,5.4447,6.3521,5.4447,4.5372,6.3521,3.6298,4.5372,3.6298,10.8894,3.6298,6.3521,9.0745,0.9074,3.6298,0.0926
Seq_751,12.7394,0.0,9.0996,18.1992,3.6398,4.5498,5.4598,6.3697,5.4598,4.5498,6.3697,3.6398,4.5498,3.6398,10.9195,3.6398,6.3697,9.0996,0.91,3.6398,0.09
Seq_752,6.2495,0.0,9.8207,19.6413,12.499,14.2846,2.6784,20.5341,18.7485,21.4269,6.2495,7.1423,9.8207,0.8928,13.3918,16.9629,7.1423,16.0702,1.7856,8.0351,0.1072
Seq_753,10.5788,0.0,4.4078,10.5788,2.6447,10.5788,0.8816,11.4603,10.5788,5.2894,5.2894,2.6447,6.171,2.6447,14.105,3.5263,7.0525,7.0525,1.7631,1.7631,0.1184
Seq_754,29.556,1.7913,17.0171,41.1993,6.2695,23.2866,6.2695,13.4346,18.8084,38.5124,6.2695,8.9564,16.1215,12.5389,28.6604,15.2258,17.0171,24.1822,7.1651,6.2695,0.1044
Seq_755,11.6363,0.8951,8.0559,8.0559,2.6853,10.7412,5.3706,7.1608,6.2657,22.3776,6.2657,5.3706,8.951,8.0559,17.9021,8.0559,7.1608,5.3706,1.7902,4.4755,0.1049
Seq_756,46.425,0.8928,24.1053,59.8168,26.7837,40.1755,10.7135,8.9279,19.6413,70.5303,8.9279,5.3567,36.6043,14.2846,54.4601,16.0702,14.2846,41.0683,8.0351,10.7135,0.1072
Seq_757,20.3375,1.8489,15.7153,8.3199,9.2443,19.4131,6.471,24.9596,16.6398,30.5062,7.3954,12.942,34.204,10.1687,10.1687,20.3375,26.8085,18.4886,1.8489,5.5466,0.0756
Seq_758,12.6028,8.1018,6.3014,1.8004,3.6008,11.7026,0.9002,6.3014,5.4012,13.503,2.7006,12.6028,2.7006,2.7006,10.8024,9.9022,6.3014,6.3014,5.4012,2.7006,0.0998
Seq_759,29.7028,0.9001,6.3006,11.7011,6.3006,18.0017,5.4005,3.6003,12.6012,12.6012,6.3006,4.5004,19.8018,5.4005,24.3023,9.0008,9.9009,8.1008,1.8002,6.3006,0.0999
Seq_760,9.0126,0.0,3.605,9.9138,0.9013,10.8151,6.3088,7.2101,13.5189,12.6176,5.4075,3.605,7.2101,2.7038,9.0126,5.4075,10.8151,6.3088,0.9013,5.4075,0.0987
Seq_761,25.0871,5.3758,14.3355,19.7113,4.4798,20.6073,5.3758,16.1274,12.5436,30.463,5.3758,10.7516,13.4395,17.0234,18.8154,11.6476,9.8557,26.8791,7.1678,7.1678,0.10400000000000001
Seq_762,75.1875,1.7902,25.0625,76.9777,34.0134,63.5514,15.2165,14.3214,16.1116,102.9353,7.1607,8.0558,64.4464,13.4263,67.1317,20.5871,20.5871,56.3906,4.4754,15.2165,0.1049
Seq_763,37.5785,0.0,43.0778,38.495,6.4158,22.9137,0.9165,15.5813,5.4993,28.413,4.5827,9.1655,15.5813,14.6648,11.9151,19.2475,15.5813,24.7468,0.9165,3.6662,0.0835
Seq_764,15.542,2.7427,11.8851,13.7136,10.9709,12.7993,3.657,10.0566,16.4563,15.542,3.657,10.0566,10.9709,10.0566,7.3139,5.4854,11.8851,16.4563,2.7427,8.2281,0.0858
Seq_765,16.6117,2.7686,5.5372,5.5372,2.7686,3.6915,0.9229,11.0744,7.383,12.9202,1.8457,5.5372,7.383,5.5372,4.6144,5.5372,6.4601,8.3058,0.0,1.8457,0.0771
Seq_766,21.7855,0.9077,6.3541,9.0773,5.4464,29.0473,2.7232,14.5236,18.1546,18.1546,3.6309,7.2618,12.7082,11.8005,16.3391,15.4314,14.5236,19.97,2.7232,4.5386,0.0923
Seq_767,5.487,1.829,7.316,8.2305,3.658,3.658,0.9145,10.0594,12.8029,10.0594,1.829,8.2305,1.829,0.9145,2.7435,5.487,4.5725,7.316,0.9145,1.829,0.0855
Seq_768,38.2717,1.8669,61.6081,76.5434,19.6026,41.0721,16.8022,32.6709,34.5379,37.3382,22.4029,58.8077,61.6081,77.4768,27.0702,62.5415,27.0702,27.0702,0.9335,23.3364,0.0665
Seq_769,2.7105,0.0,2.7105,10.8419,0.9035,3.614,1.807,10.8419,12.6489,5.421,1.807,5.421,4.5175,9.9384,5.421,6.3244,9.0349,12.6489,0.9035,1.807,0.0965
Seq_770,36.0341,1.8017,15.3145,21.6205,8.1077,18.0171,7.2068,17.1162,9.0085,33.3316,7.2068,1.8017,15.3145,16.2154,21.6205,18.0171,10.8102,14.4137,4.5043,7.2068,0.0991
Seq_771,31.7308,12.6923,33.544,31.7308,26.2912,32.6374,8.1593,49.8627,46.2363,52.5825,9.0659,23.5715,30.8242,25.3846,29.9176,33.544,21.7583,36.2638,0.9066,14.5055,0.0934
Seq_772,28.0794,2.7174,13.5868,11.7752,8.1521,14.4926,9.9637,9.0579,9.9637,18.1158,5.4347,9.9637,13.5868,10.8695,18.1158,9.0579,12.681,23.5505,4.5289,10.8695,0.0942
Seq_773,21.7944,0.9081,9.081,18.162,6.3567,9.081,1.8162,15.4377,13.6215,12.7134,2.7243,11.8053,8.1729,9.9891,15.4377,8.1729,14.5296,20.8863,0.9081,2.7243,0.0919
Seq_774,12.7058,0.0,6.3529,16.3361,0.9076,9.0756,1.8151,5.4454,8.168,13.6134,2.7227,4.5378,1.8151,4.5378,5.4454,6.3529,7.2605,20.8739,1.8151,0.0,0.0924
Seq_775,54.4533,4.6147,31.3799,25.8423,11.0753,121.8278,10.1523,36.9175,28.6111,18.4588,12.9211,18.4588,96.9084,58.1451,27.6881,29.534,19.3817,23.9964,6.4606,19.3817,0.0771
Seq_776,35.0863,8.9965,33.287,41.3839,21.5916,29.6884,14.3944,31.4877,28.7888,35.986,10.7958,24.2905,25.1902,13.4947,35.986,25.1902,24.2905,31.4877,7.1972,19.7923,0.1004
Seq_777,15.2371,0.0,4.4815,8.0667,0.8963,14.3408,3.5852,11.6519,8.963,3.5852,2.6889,2.6889,7.1704,1.7926,12.5482,7.1704,6.2741,8.0667,1.7926,1.7926,0.1037
Seq_778,23.4462,1.8036,15.3302,25.2497,9.0178,16.232,1.8036,18.0355,17.1338,17.1338,10.8213,5.4107,10.8213,6.3124,18.0355,11.7231,3.6071,16.232,0.0,4.5089,0.0982
Seq_779,20.8514,0.9066,8.1592,19.0382,5.4395,9.0658,2.7197,16.3185,14.5053,13.5987,2.7197,11.7856,6.3461,11.7856,14.5053,10.879,10.879,21.758,0.9066,3.6263,0.0934
Seq_780,25.2955,7.2273,25.2955,21.6818,10.8409,22.5852,4.517,23.4886,21.6818,27.1023,12.6477,18.0682,13.5511,13.5511,24.392,15.358,18.9716,29.8125,3.6136,7.2273,0.0966
Seq_781,29.162,2.7339,14.581,17.3149,5.4679,22.7828,2.7339,13.6697,14.581,35.5412,8.2018,8.2018,19.1375,15.4923,13.6697,16.4036,15.4923,21.8715,6.3792,3.6452,0.0887
Seq_782,2.7321,0.9107,1.8214,6.375,4.5536,5.4643,1.8214,3.6428,3.6428,8.1964,1.8214,8.1964,3.6428,1.8214,3.6428,6.375,3.6428,7.2857,0.0,2.7321,0.0893
Seq_783,25.5822,6.3956,23.7549,28.3232,13.7048,31.9778,7.3092,18.273,20.1003,30.1505,5.4819,8.2229,12.7911,16.4457,15.5321,11.8775,17.3594,26.4959,4.5683,11.8775,0.0863
Seq_784,17.4085,8.2461,21.0734,19.2409,13.7435,26.5708,6.4136,26.5708,30.2358,26.5708,6.4136,30.2358,54.0579,21.0734,32.9845,42.1468,19.2409,20.1572,0.9162,12.8273,0.0838
Seq_785,6.2321,2.6709,8.903,5.3418,4.4515,11.5739,5.3418,14.2448,14.2448,11.5739,2.6709,8.0127,3.5612,2.6709,12.4642,4.4515,8.903,6.2321,1.7806,2.6709,0.1097
Seq_786,53.3495,0.0,34.9531,22.0757,11.0378,65.3071,11.0378,16.5567,37.7126,24.8351,8.2784,34.9531,30.354,20.236,24.8351,40.472,21.1558,34.0333,7.3586,8.2784,0.0802
Seq_787,8.7517,1.7503,17.5034,9.6269,6.1262,30.6309,2.6255,6.1262,7.0014,5.251,2.6255,6.1262,14.8779,0.8752,37.6323,24.5047,6.1262,14.8779,0.8752,13.1275,0.1248
Seq_788,3.6587,0.0,2.7441,5.4881,3.6587,6.4028,0.9147,4.5734,5.4881,8.2322,2.7441,6.4028,0.0,1.8294,1.8294,10.9762,5.4881,5.4881,0.0,2.7441,0.0853
Seq_789,13.7031,1.8271,4.5677,3.6542,2.7406,15.5301,0.0,6.3948,10.0489,8.2218,5.4812,7.3083,6.3948,1.8271,9.1354,9.1354,2.7406,12.7895,1.8271,1.8271,0.0865
Seq_790,31.7716,5.4466,27.2328,37.2182,19.063,22.694,9.9854,28.1406,28.1406,35.4027,5.4466,18.1552,13.6164,18.1552,22.694,20.8785,21.7863,27.2328,0.0,11.8009,0.0922
Seq_791,29.6408,1.7964,14.3713,17.9641,13.4731,27.8444,15.2695,16.1677,38.6229,18.8624,6.2875,7.1857,12.5749,6.2875,29.6408,18.8624,24.2516,31.4373,6.2875,10.7785,0.1018
Seq_792,19.9715,0.9078,15.4325,21.787,8.1701,19.0637,7.2623,23.6026,19.0637,24.5104,9.0779,10.8935,9.0779,8.1701,17.2481,14.5247,12.7091,22.6948,2.7234,6.3546,0.0922
Seq_793,25.7827,0.0,5.5249,14.733,1.8416,7.3665,0.0,5.5249,11.9705,7.3665,3.6832,0.9208,1.8416,0.9208,0.9208,5.5249,2.7624,14.733,0.0,0.0,0.0792
Seq_794,57.2188,8.1741,89.9152,88.0987,79.0164,48.1364,17.2565,96.2728,157.1245,98.9975,11.807,90.8234,25.4306,49.0447,31.7882,71.7505,46.32,45.4117,7.2659,60.8517,0.0918
Seq_795,2.7022,0.0,5.4045,4.5037,1.8015,6.3052,0.0,6.3052,7.206,6.3052,2.7022,2.7022,0.9007,1.8015,3.603,4.5037,1.8015,8.1067,0.0,2.7022,0.0993
Seq_796,13.6543,1.8206,5.4617,12.7441,0.9103,6.372,0.9103,8.1926,16.3852,9.1029,0.9103,1.8206,4.5514,3.6412,2.7309,7.2823,4.5514,11.8338,0.0,2.7309,0.0897
Seq_797,20.5337,0.8928,7.1422,12.4988,12.4988,12.4988,5.3566,12.4988,25.8903,15.1771,3.5711,11.606,8.0349,8.0349,18.7482,6.2494,8.9277,14.2843,2.6783,6.2494,0.1072
Seq_798,66.6569,28.6995,26.8479,53.6959,21.2932,51.8443,29.6253,16.6642,36.1058,62.9538,7.4063,21.2932,67.5827,44.438,36.1058,84.247,36.1058,30.5511,6.4805,21.2932,0.0742
Seq_799,8.1984,3.6437,10.9312,8.1984,9.1093,9.1093,1.8219,7.2875,25.5061,22.7733,5.4656,12.7531,8.1984,7.2875,8.1984,17.3077,5.4656,20.9514,0.9109,4.5547,0.0891
Seq_800,22.5311,0.9012,5.4075,13.5187,6.3087,15.3212,0.9012,13.5187,16.2224,15.3212,1.8025,1.8025,9.0124,8.1112,12.6174,9.0124,5.4075,13.5187,0.0,1.8025,0.0988
Seq_801,24.2981,0.8999,6.2995,11.6991,7.1994,12.599,1.7999,12.599,17.0987,14.3989,1.7999,1.7999,8.9993,8.0994,12.599,10.7992,6.2995,11.6991,0.0,1.7999,0.1001
Seq_802,7.1685,0.0,12.5449,14.3371,0.8961,5.3764,2.6882,1.7921,6.2725,8.9607,0.8961,3.5843,3.5843,4.4803,11.6489,5.3764,5.3764,11.6489,0.0,0.8961,0.1039
Seq_803,13.6376,1.8183,4.5459,3.6367,2.7275,16.3651,0.9092,9.0917,13.6376,7.2734,3.6367,7.2734,5.455,0.9092,10.0009,8.1826,2.7275,11.8192,0.9092,2.7275,0.0908
Seq_804,10.8378,0.0,5.4189,9.9347,0.9032,9.0315,1.8063,4.5158,5.4189,7.2252,0.9032,3.6126,3.6126,3.6126,8.1284,9.0315,5.4189,13.5473,0.9032,0.9032,0.0968
Seq_805,5.3489,0.8915,0.0,7.1319,0.8915,8.0234,0.8915,6.2404,12.4808,8.0234,0.8915,1.783,3.5659,3.5659,9.8064,5.3489,2.6745,8.0234,0.0,1.783,0.1085
Seq_806,28.2396,0.911,11.8424,24.5957,8.1986,10.0205,4.5548,13.6643,6.3767,17.3081,1.8219,10.0205,14.5753,8.1986,13.6643,10.0205,15.4862,20.041,4.5548,5.4657,0.08900000000000001
Seq_807,1.8091,0.9045,2.7136,9.95,0.9045,9.0454,0.9045,2.7136,4.5227,9.95,5.4273,5.4273,3.6182,0.9045,2.7136,2.7136,1.8091,6.3318,0.9045,4.5227,0.0955
Seq_808,6.3224,0.0,4.516,4.516,1.8064,4.516,4.516,2.7096,5.4192,10.8385,1.8064,1.8064,0.0,3.6128,10.8385,5.4192,5.4192,4.516,0.0,1.8064,0.0968
Seq_809,7.0772,0.0,7.9619,6.1926,3.5386,10.6158,4.4233,9.7312,14.1544,12.3851,1.7693,5.3079,2.654,5.3079,17.693,2.654,7.9619,10.6158,1.7693,2.654,0.1153
Seq_810,15.2317,0.896,7.1679,3.5839,2.688,13.4398,1.792,5.3759,8.0639,5.3759,2.688,2.688,4.4799,3.5839,13.4398,8.0639,9.8558,12.5438,0.0,1.792,0.10400000000000001
Seq_811,38.8494,2.7104,29.8146,51.498,25.2973,28.9112,10.8417,25.2973,43.3667,50.5945,9.9382,14.4556,23.4903,20.7799,32.5251,25.2973,22.5868,29.8146,0.9035,16.2625,0.0965
Seq_812,13.3112,2.6622,7.0993,17.7483,6.2119,21.298,2.6622,17.7483,12.4238,14.1986,5.3245,7.9867,7.9867,5.3245,20.4105,6.2119,10.649,21.298,3.5497,5.3245,0.1126
Seq_813,12.5781,0.0,0.8984,3.5937,6.289,10.7812,3.5937,3.5937,16.1718,8.9843,0.8984,9.8828,0.8984,7.1875,7.1875,5.3906,8.9843,12.5781,0.8984,0.0,0.1016
Seq_814,10.7609,0.8967,4.4837,4.4837,1.7935,9.8642,0.8967,8.9674,13.4512,10.7609,4.4837,4.4837,6.2772,11.6577,11.6577,8.0707,1.7935,8.9674,0.0,6.2772,0.1033
Seq_815,15.2909,0.0,7.1957,7.1957,3.5979,21.5872,3.5979,8.0952,15.2909,11.693,1.7989,5.3968,9.8941,7.1957,9.8941,5.3968,9.8941,19.7882,0.0,3.5979,0.1005
Seq_816,21.6516,2.7065,17.1409,23.4559,5.4129,22.5538,4.5108,16.2387,11.728,31.5753,7.2172,8.1194,17.1409,10.8258,24.3581,14.4344,12.6301,18.9452,0.0,12.6301,0.0978
Seq_817,16.1348,0.0,3.5855,7.171,2.6891,9.8602,3.5855,8.0674,13.4457,10.7566,3.5855,5.3783,4.4819,5.3783,16.1348,8.0674,7.171,9.8602,0.8964,2.6891,0.1036
Seq_818,38.5461,11.0132,29.3684,27.5329,22.0263,66.079,17.4375,16.5197,27.5329,33.9572,13.7664,31.2039,53.2303,23.8618,36.7105,42.2171,16.5197,36.7105,1.8355,25.6974,0.0822
Seq_819,17.9827,0.8991,8.0922,7.1931,2.6974,17.0836,2.6974,7.1931,14.3862,10.7896,1.7983,6.294,7.1931,6.294,8.9914,3.5965,10.7896,19.781,0.8991,4.4957,0.1009
Seq_820,4.439,0.8878,1.7756,3.5512,2.6634,4.439,2.6634,1.7756,6.2146,5.3268,1.7756,3.5512,1.7756,0.8878,9.7658,4.439,4.439,7.1024,0.8878,0.8878,0.1122
Seq_821,8.0785,0.0,5.3857,16.157,1.7952,17.0546,3.5904,7.1809,15.2594,10.7713,2.6928,7.1809,8.0785,1.7952,11.6689,9.8737,8.9761,21.5426,0.0,3.5904,0.1024
Seq_822,3.6142,0.9035,1.8071,2.7106,2.7106,8.1319,3.6142,1.8071,9.0355,5.4213,1.8071,4.5177,0.9035,2.7106,4.5177,3.6142,2.7106,1.8071,0.9035,1.8071,0.0965
Seq_823,26.5238,3.6585,15.5484,42.9869,19.2069,18.2923,12.8046,32.9261,40.243,50.3038,10.9754,23.78,19.2069,26.5238,20.1215,40.243,19.2069,18.2923,2.7438,8.2315,0.0854
Seq_824,16.5119,7.3386,11.0079,18.3466,7.3386,17.4292,6.4213,13.7599,23.8505,25.6852,7.3386,16.5119,17.4292,11.0079,9.1733,19.2639,24.7679,12.8426,1.8347,5.504,0.0827
Seq_825,11.7168,0.0,11.7168,18.0258,7.2103,14.4207,4.5065,9.0129,6.309,9.0129,4.5065,3.6052,8.1116,3.6052,10.8155,10.8155,9.9142,12.6181,0.0,3.6052,0.0987
Seq_826,11.7495,0.9038,8.1343,9.0381,5.4229,8.1343,7.2305,9.0381,9.0381,17.1724,6.3267,3.6152,13.5572,8.1343,11.7495,7.2305,6.3267,7.2305,3.6152,7.2305,0.0962
Seq_827,22.7117,1.8169,8.1762,8.1762,17.2609,13.627,3.6339,9.0847,13.627,14.5355,9.9931,10.9016,9.0847,11.8101,7.2677,9.0847,11.8101,18.1693,3.6339,7.2677,0.0915
Seq_828,3.5981,0.8995,3.5981,10.7944,4.4977,2.6986,3.5981,8.9953,8.9953,8.9953,3.5981,6.2967,3.5981,0.8995,8.0958,6.2967,3.5981,8.9953,0.8995,0.0,0.1005
Seq_829,15.5094,0.9123,19.1587,15.5094,2.737,14.5971,1.8246,17.334,22.8079,29.1941,3.6493,11.8601,12.7724,6.3862,6.3862,19.1587,14.5971,24.6326,1.8246,10.0355,0.0877
Seq_830,19.848,0.9022,3.6087,4.5109,2.7065,6.3153,0.0,7.2174,15.3371,9.924,1.8044,1.8044,3.6087,6.3153,9.924,6.3153,6.3153,13.5327,3.6087,0.9022,0.0978
Seq_831,9.0415,1.8083,1.8083,3.6166,7.2332,8.1374,4.5208,9.0415,18.0831,4.5208,1.8083,6.3291,7.2332,5.4249,10.8498,8.1374,11.754,15.3706,0.9042,5.4249,0.0958
Seq_832,14.6375,6.4039,12.8078,12.8078,13.7227,13.7227,1.8297,15.5523,15.5523,16.4672,3.6594,11.893,10.0633,6.4039,7.3188,16.4672,14.6375,17.382,0.9148,7.3188,0.0852
Seq_833,6.2269,0.0,1.7791,5.3373,2.6687,3.5582,0.0,3.5582,12.4537,9.7851,0.8896,1.7791,3.5582,1.7791,11.5642,3.5582,5.3373,3.5582,0.0,0.8896,0.1104
Seq_834,5.3366,0.0,1.7789,5.3366,2.6683,4.4471,0.0,3.5577,12.452,9.7837,0.8894,1.7789,3.5577,1.7789,11.5626,3.5577,5.3366,3.5577,0.0,0.8894,0.1106
Seq_835,22.9428,1.8354,5.5063,9.1771,3.6708,9.1771,1.8354,7.3417,11.0125,14.6834,1.8354,4.5886,6.424,6.424,8.2594,15.6011,17.4365,19.2719,2.7531,4.5886,0.0823
Seq_836,108.5285,11.1311,48.2349,43.5969,36.1762,107.6009,32.4658,35.2486,38.0314,91.8318,23.1898,55.6556,74.2075,90.9042,43.5969,108.5285,43.5969,70.4971,5.5656,31.5382,0.0724
Seq_837,9.8657,0.8969,10.7626,12.5564,4.4844,11.6595,0.8969,8.072,7.1751,7.1751,2.6907,5.3813,3.5875,3.5875,10.7626,5.3813,6.2782,13.4533,0.8969,4.4844,0.1031
Seq_838,16.352,4.5422,5.4507,10.9013,9.0844,11.8098,2.7253,14.5351,18.1689,7.2675,3.6338,9.9929,6.3591,8.176,12.7182,7.2675,10.9013,16.352,1.8169,3.6338,0.0916
Seq_839,21.3738,0.0,4.4529,8.9057,8.0152,11.5774,3.5623,4.4529,23.1549,16.0303,1.7811,4.4529,7.1246,3.5623,14.2492,9.7963,7.1246,19.5926,0.8906,7.1246,0.1094
Seq_840,10.0944,1.8353,3.6707,3.6707,0.9177,8.2591,1.8353,6.4237,6.4237,3.6707,1.8353,0.0,9.1767,2.753,6.4237,17.4358,10.0944,9.1767,1.8353,0.9177,0.0823
Seq_841,25.4484,4.5444,31.8105,15.4508,15.4508,28.1751,4.5444,19.9952,27.2662,34.5372,12.7242,14.542,18.1775,12.7242,18.1775,27.2662,23.6307,23.6307,6.3621,19.0863,0.0911
Seq_842,7.3077,0.9135,7.3077,14.6154,10.9615,14.6154,4.5673,10.9615,12.7884,24.6634,3.6538,10.0481,18.2692,10.9615,11.875,6.3942,11.875,12.7884,3.6538,9.1346,0.0865
Seq_843,7.2514,0.0,9.9707,7.2514,2.7193,2.7193,1.8128,1.8128,5.4385,1.8128,3.6257,3.6257,0.9064,5.4385,2.7193,3.6257,3.6257,10.8771,0.9064,0.9064,0.0936
Seq_844,9.2584,0.9258,3.7034,3.7034,0.0,5.555,0.0,7.4067,9.2584,4.6292,2.7775,0.0,0.9258,2.7775,0.9258,9.2584,2.7775,11.1101,0.0,0.9258,0.0742
Seq_845,16.4619,0.9145,4.5727,9.1455,5.4873,3.6582,0.9145,7.3164,1.8291,10.06,3.6582,10.9746,7.3164,10.9746,9.1455,11.8891,11.8891,9.1455,1.8291,6.4018,0.0855
Seq_846,10.7504,0.0,5.3752,9.8546,0.8959,7.167,0.8959,8.0628,6.2711,9.8546,4.4794,4.4794,1.7917,4.4794,14.3339,3.5835,8.0628,3.5835,0.0,3.5835,0.1041
Seq_847,12.7401,0.91,7.2801,6.3701,7.2801,5.4601,0.0,8.1901,1.82,10.9201,0.91,9.1001,7.2801,8.1901,10.0101,14.5601,14.5601,12.7401,2.73,3.64,0.09
Seq_848,12.5593,0.0,5.3825,6.2796,3.5884,4.4855,1.7942,7.1767,14.3534,8.9709,2.6913,5.3825,6.2796,4.4855,12.5593,6.2796,4.4855,11.6622,0.0,1.7942,0.1029
