ID,PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_TN,PCP_SM,PCP_LR
Seq_1021,0.076,0.073,0.851,0.178,0.632,0.459,0.044,0.173,0.073,0.076,0.851,0.602,0.161,0.313,0.111,0.035,0.257,0.485,0.515
Seq_1022,0.057,0.181,0.762,0.352,0.4,0.343,0.038,0.162,0.181,0.057,0.762,0.381,0.105,0.505,0.2,0.048,0.362,0.657,0.343
Seq_1023,0.163,0.138,0.699,0.234,0.364,0.285,0.025,0.121,0.138,0.163,0.699,0.377,0.289,0.343,0.13,0.042,0.159,0.498,0.502
Seq_1024,0.171,0.144,0.685,0.342,0.315,0.252,0.054,0.063,0.144,0.171,0.685,0.45,0.252,0.432,0.198,0.099,0.243,0.541,0.459
Seq_1025,0.075,0.132,0.792,0.245,0.509,0.377,0.038,0.151,0.132,0.075,0.792,0.547,0.151,0.415,0.226,0.0,0.283,0.547,0.453
Seq_1026,0.057,0.132,0.811,0.283,0.472,0.358,0.038,0.151,0.132,0.057,0.811,0.528,0.151,0.415,0.245,0.0,0.264,0.566,0.434
Seq_1027,0.063,0.169,0.767,0.203,0.538,0.455,0.017,0.106,0.169,0.063,0.767,0.482,0.106,0.445,0.14,0.03,0.326,0.628,0.372
Seq_1028,0.143,0.102,0.755,0.23,0.463,0.407,0.012,0.102,0.102,0.143,0.755,0.391,0.217,0.401,0.127,0.006,0.314,0.59,0.41
Seq_1029,0.088,0.071,0.84,0.332,0.445,0.382,0.038,0.088,0.071,0.088,0.84,0.433,0.189,0.403,0.197,0.071,0.374,0.626,0.374
Seq_1030,0.126,0.052,0.822,0.293,0.476,0.361,0.058,0.126,0.052,0.126,0.822,0.513,0.236,0.372,0.162,0.047,0.277,0.55,0.45
Seq_1031,0.1,0.086,0.814,0.181,0.588,0.502,0.05,0.077,0.086,0.1,0.814,0.561,0.195,0.339,0.118,0.032,0.317,0.611,0.389
Seq_1032,0.082,0.065,0.853,0.303,0.472,0.424,0.043,0.074,0.065,0.082,0.853,0.463,0.203,0.39,0.165,0.061,0.342,0.623,0.377
Seq_1033,0.107,0.097,0.796,0.388,0.34,0.311,0.049,0.058,0.097,0.107,0.796,0.476,0.223,0.408,0.214,0.117,0.379,0.67,0.33
Seq_1034,0.087,0.095,0.818,0.257,0.518,0.443,0.063,0.099,0.095,0.087,0.818,0.51,0.194,0.383,0.146,0.043,0.304,0.617,0.383
Seq_1035,0.152,0.1,0.747,0.228,0.484,0.407,0.069,0.09,0.1,0.152,0.747,0.512,0.257,0.344,0.125,0.026,0.181,0.461,0.539
Seq_1036,0.121,0.123,0.756,0.19,0.526,0.452,0.047,0.087,0.123,0.121,0.756,0.498,0.209,0.369,0.123,0.031,0.28,0.545,0.455
Seq_1037,0.141,0.116,0.743,0.187,0.523,0.444,0.091,0.104,0.116,0.141,0.743,0.494,0.266,0.303,0.087,0.05,0.245,0.506,0.494
Seq_1038,0.158,0.11,0.733,0.116,0.555,0.466,0.021,0.096,0.11,0.158,0.733,0.486,0.24,0.295,0.062,0.021,0.26,0.527,0.473
Seq_1039,0.18,0.145,0.675,0.23,0.385,0.33,0.01,0.105,0.145,0.18,0.675,0.42,0.25,0.35,0.13,0.015,0.21,0.43,0.57
Seq_1040,0.127,0.136,0.737,0.203,0.513,0.405,0.035,0.117,0.136,0.127,0.737,0.544,0.184,0.323,0.095,0.057,0.212,0.5,0.5
Seq_1041,0.093,0.122,0.785,0.219,0.491,0.416,0.032,0.104,0.122,0.093,0.785,0.444,0.201,0.394,0.125,0.025,0.265,0.57,0.43
Seq_1042,0.119,0.173,0.708,0.205,0.443,0.324,0.027,0.124,0.173,0.119,0.708,0.449,0.205,0.373,0.092,0.059,0.195,0.497,0.503
Seq_1043,0.088,0.091,0.821,0.182,0.603,0.527,0.07,0.076,0.091,0.088,0.821,0.57,0.194,0.336,0.115,0.036,0.312,0.636,0.364
Seq_1044,0.103,0.089,0.808,0.168,0.614,0.469,0.063,0.152,0.089,0.103,0.808,0.562,0.192,0.335,0.109,0.026,0.259,0.511,0.489
Seq_1045,0.129,0.068,0.803,0.15,0.633,0.558,0.02,0.061,0.068,0.129,0.803,0.51,0.17,0.327,0.075,0.041,0.415,0.578,0.422
Seq_1046,0.092,0.101,0.806,0.175,0.613,0.548,0.055,0.06,0.101,0.092,0.806,0.594,0.166,0.346,0.106,0.032,0.29,0.553,0.447
Seq_1047,0.123,0.138,0.739,0.206,0.487,0.417,0.043,0.118,0.138,0.123,0.739,0.485,0.211,0.322,0.101,0.043,0.244,0.513,0.487
Seq_1048,0.152,0.133,0.715,0.211,0.428,0.333,0.03,0.146,0.133,0.152,0.715,0.455,0.257,0.301,0.103,0.03,0.141,0.393,0.607
Seq_1049,0.133,0.115,0.752,0.216,0.487,0.4,0.05,0.101,0.115,0.133,0.752,0.495,0.233,0.353,0.136,0.04,0.209,0.495,0.505
Seq_1050,0.131,0.093,0.776,0.208,0.519,0.437,0.044,0.071,0.093,0.131,0.776,0.508,0.224,0.372,0.131,0.038,0.208,0.519,0.481
Seq_1051,0.121,0.087,0.793,0.303,0.449,0.39,0.105,0.074,0.087,0.121,0.793,0.523,0.266,0.384,0.207,0.043,0.232,0.61,0.39
Seq_1052,0.103,0.098,0.799,0.275,0.475,0.386,0.067,0.139,0.098,0.103,0.799,0.486,0.219,0.389,0.171,0.019,0.254,0.576,0.424
Seq_1053,0.131,0.125,0.745,0.199,0.508,0.427,0.078,0.093,0.125,0.131,0.745,0.508,0.246,0.318,0.118,0.044,0.206,0.455,0.545
Seq_1054,0.153,0.142,0.704,0.234,0.445,0.376,0.047,0.106,0.142,0.153,0.704,0.453,0.226,0.387,0.117,0.033,0.219,0.485,0.515
Seq_1055,0.123,0.098,0.778,0.196,0.554,0.484,0.051,0.082,0.098,0.123,0.778,0.516,0.203,0.358,0.108,0.019,0.272,0.544,0.456
Seq_1056,0.129,0.048,0.823,0.226,0.532,0.468,0.065,0.081,0.048,0.129,0.823,0.5,0.258,0.323,0.081,0.081,0.403,0.677,0.323
Seq_1057,0.237,0.053,0.711,0.263,0.395,0.316,0.079,0.026,0.053,0.237,0.711,0.474,0.368,0.263,0.079,0.211,0.342,0.579,0.421
Seq_1058,0.083,0.105,0.812,0.248,0.519,0.429,0.045,0.165,0.105,0.083,0.812,0.474,0.173,0.398,0.158,0.008,0.226,0.519,0.481
Seq_1059,0.195,0.169,0.636,0.144,0.449,0.339,0.042,0.127,0.169,0.195,0.636,0.458,0.28,0.305,0.076,0.042,0.161,0.441,0.559
Seq_1060,0.146,0.116,0.738,0.25,0.439,0.39,0.067,0.134,0.116,0.146,0.738,0.476,0.262,0.299,0.116,0.03,0.201,0.512,0.488
Seq_1061,0.188,0.155,0.656,0.182,0.443,0.37,0.051,0.102,0.155,0.188,0.656,0.439,0.271,0.326,0.093,0.033,0.191,0.441,0.559
Seq_1062,0.163,0.163,0.674,0.211,0.425,0.364,0.005,0.126,0.163,0.163,0.674,0.433,0.206,0.305,0.067,0.04,0.15,0.318,0.682
Seq_1063,0.074,0.028,0.898,0.12,0.741,0.602,0.065,0.12,0.028,0.074,0.898,0.667,0.176,0.25,0.083,0.037,0.269,0.546,0.454
Seq_1064,0.101,0.084,0.815,0.295,0.489,0.401,0.066,0.11,0.084,0.101,0.815,0.515,0.198,0.352,0.15,0.084,0.308,0.542,0.458
Seq_1065,0.168,0.163,0.669,0.193,0.436,0.358,0.023,0.082,0.163,0.168,0.669,0.423,0.231,0.369,0.105,0.04,0.197,0.419,0.581
Seq_1066,0.091,0.104,0.804,0.29,0.454,0.407,0.025,0.129,0.104,0.091,0.804,0.42,0.177,0.42,0.161,0.006,0.287,0.599,0.401
Seq_1067,0.117,0.113,0.77,0.216,0.473,0.441,0.045,0.059,0.113,0.117,0.77,0.459,0.243,0.365,0.126,0.032,0.257,0.599,0.401
Seq_1068,0.081,0.072,0.847,0.306,0.464,0.401,0.05,0.095,0.072,0.081,0.847,0.464,0.207,0.369,0.162,0.081,0.329,0.617,0.383
Seq_1069,0.081,0.068,0.851,0.306,0.464,0.401,0.05,0.095,0.068,0.081,0.851,0.468,0.212,0.365,0.162,0.081,0.324,0.617,0.383
Seq_1070,0.152,0.145,0.703,0.207,0.429,0.35,0.041,0.09,0.145,0.152,0.703,0.403,0.26,0.376,0.115,0.014,0.191,0.435,0.565
Seq_1071,0.144,0.087,0.769,0.221,0.538,0.481,0.125,0.067,0.087,0.144,0.769,0.558,0.279,0.356,0.144,0.029,0.269,0.606,0.394
Seq_1072,0.143,0.175,0.683,0.23,0.365,0.27,0.008,0.095,0.175,0.143,0.683,0.405,0.238,0.389,0.151,0.056,0.198,0.46,0.54
Seq_1073,0.145,0.125,0.73,0.191,0.488,0.419,0.054,0.08,0.125,0.145,0.73,0.464,0.249,0.348,0.089,0.036,0.191,0.436,0.564
Seq_1074,0.115,0.111,0.774,0.281,0.447,0.369,0.051,0.108,0.111,0.115,0.774,0.447,0.212,0.407,0.155,0.042,0.268,0.542,0.458
Seq_1075,0.116,0.113,0.771,0.274,0.461,0.369,0.061,0.113,0.113,0.116,0.771,0.485,0.213,0.388,0.163,0.05,0.251,0.534,0.466
Seq_1076,0.184,0.096,0.72,0.272,0.376,0.32,0.024,0.08,0.096,0.184,0.72,0.44,0.28,0.344,0.144,0.072,0.272,0.536,0.464
Seq_1077,0.132,0.12,0.748,0.192,0.526,0.459,0.079,0.09,0.12,0.132,0.748,0.5,0.241,0.346,0.128,0.023,0.248,0.538,0.462
Seq_1078,0.117,0.107,0.776,0.259,0.439,0.366,0.032,0.105,0.107,0.117,0.776,0.465,0.227,0.366,0.153,0.043,0.238,0.52,0.48
Seq_1079,0.123,0.096,0.781,0.255,0.479,0.408,0.09,0.123,0.096,0.123,0.781,0.479,0.26,0.359,0.148,0.019,0.214,0.548,0.452
Seq_1080,0.091,0.116,0.793,0.203,0.526,0.452,0.051,0.114,0.116,0.091,0.793,0.514,0.207,0.35,0.118,0.009,0.236,0.559,0.441
Seq_1081,0.062,0.056,0.882,0.23,0.627,0.559,0.081,0.118,0.056,0.062,0.882,0.578,0.168,0.354,0.143,0.006,0.292,0.553,0.447
Seq_1082,0.109,0.099,0.792,0.297,0.455,0.391,0.079,0.082,0.099,0.109,0.792,0.52,0.228,0.389,0.208,0.045,0.24,0.594,0.406
Seq_1083,0.14,0.07,0.791,0.24,0.442,0.357,0.016,0.093,0.07,0.14,0.791,0.465,0.264,0.318,0.132,0.078,0.326,0.612,0.388
Seq_1084,0.18,0.14,0.68,0.126,0.527,0.464,0.027,0.054,0.14,0.18,0.68,0.464,0.234,0.351,0.09,0.018,0.275,0.527,0.473
Seq_1085,0.22,0.147,0.633,0.229,0.385,0.312,0.046,0.064,0.147,0.22,0.633,0.413,0.284,0.349,0.083,0.119,0.312,0.523,0.477
Seq_1086,0.109,0.109,0.783,0.215,0.531,0.432,0.064,0.104,0.109,0.109,0.783,0.506,0.21,0.348,0.099,0.057,0.24,0.489,0.511
Seq_1087,0.144,0.129,0.727,0.254,0.397,0.325,0.024,0.139,0.129,0.144,0.727,0.416,0.244,0.354,0.158,0.005,0.172,0.498,0.502
Seq_1088,0.071,0.141,0.788,0.182,0.556,0.475,0.071,0.091,0.141,0.071,0.788,0.505,0.192,0.394,0.131,0.03,0.253,0.616,0.384
Seq_1089,0.101,0.106,0.794,0.228,0.519,0.439,0.069,0.104,0.106,0.101,0.794,0.509,0.216,0.363,0.134,0.032,0.256,0.564,0.436
Seq_1090,0.089,0.109,0.802,0.347,0.366,0.327,0.01,0.069,0.109,0.089,0.802,0.436,0.188,0.455,0.218,0.04,0.287,0.574,0.426
Seq_1091,0.137,0.129,0.734,0.255,0.457,0.392,0.042,0.09,0.129,0.137,0.734,0.459,0.202,0.406,0.137,0.031,0.258,0.504,0.496
Seq_1092,0.062,0.12,0.818,0.304,0.463,0.395,0.039,0.124,0.12,0.062,0.818,0.475,0.153,0.415,0.188,0.035,0.285,0.601,0.399
Seq_1093,0.08,0.058,0.861,0.365,0.416,0.372,0.058,0.095,0.058,0.08,0.861,0.547,0.219,0.314,0.161,0.124,0.336,0.642,0.358
Seq_1094,0.117,0.109,0.774,0.212,0.514,0.456,0.052,0.081,0.109,0.117,0.774,0.502,0.216,0.365,0.137,0.024,0.327,0.639,0.361
Seq_1095,0.154,0.126,0.721,0.19,0.478,0.408,0.056,0.098,0.126,0.154,0.721,0.492,0.263,0.288,0.084,0.045,0.176,0.43,0.57
Seq_1096,0.1,0.081,0.819,0.265,0.515,0.421,0.048,0.097,0.081,0.1,0.819,0.507,0.188,0.38,0.164,0.051,0.294,0.553,0.447
Seq_1097,0.145,0.127,0.728,0.206,0.488,0.42,0.058,0.09,0.127,0.145,0.728,0.491,0.237,0.332,0.098,0.042,0.195,0.443,0.557
Seq_1098,0.139,0.121,0.74,0.236,0.479,0.421,0.044,0.063,0.121,0.139,0.74,0.496,0.208,0.369,0.127,0.06,0.27,0.508,0.492
Seq_1099,0.104,0.077,0.819,0.258,0.522,0.432,0.054,0.095,0.077,0.104,0.819,0.507,0.197,0.378,0.16,0.049,0.298,0.561,0.439
Seq_1100,0.145,0.089,0.766,0.188,0.56,0.486,0.083,0.08,0.089,0.145,0.766,0.511,0.246,0.308,0.102,0.058,0.302,0.532,0.468
Seq_1101,0.149,0.092,0.759,0.264,0.437,0.397,0.017,0.098,0.092,0.149,0.759,0.448,0.224,0.345,0.138,0.011,0.201,0.437,0.563
Seq_1102,0.142,0.152,0.706,0.212,0.46,0.408,0.068,0.05,0.152,0.142,0.706,0.458,0.244,0.394,0.129,0.055,0.28,0.541,0.459
Seq_1103,0.137,0.101,0.762,0.168,0.555,0.493,0.067,0.059,0.101,0.137,0.762,0.529,0.244,0.314,0.098,0.056,0.272,0.546,0.454
Seq_1104,0.133,0.094,0.773,0.181,0.566,0.464,0.071,0.094,0.094,0.133,0.773,0.543,0.23,0.316,0.087,0.051,0.204,0.462,0.538
Seq_1105,0.107,0.129,0.763,0.231,0.515,0.449,0.033,0.077,0.129,0.107,0.763,0.479,0.157,0.399,0.127,0.044,0.328,0.534,0.466
Seq_1106,0.108,0.17,0.722,0.232,0.444,0.377,0.071,0.065,0.17,0.108,0.722,0.465,0.225,0.422,0.16,0.025,0.235,0.536,0.464
Seq_1107,0.129,0.126,0.745,0.236,0.478,0.393,0.044,0.066,0.126,0.129,0.745,0.487,0.204,0.393,0.138,0.047,0.255,0.484,0.516
Seq_1108,0.167,0.143,0.69,0.217,0.448,0.374,0.039,0.074,0.143,0.167,0.69,0.429,0.232,0.369,0.108,0.049,0.222,0.409,0.591
Seq_1109,0.198,0.179,0.623,0.168,0.432,0.359,0.044,0.062,0.179,0.198,0.623,0.447,0.264,0.341,0.07,0.066,0.205,0.414,0.586
Seq_1110,0.144,0.15,0.705,0.215,0.453,0.357,0.028,0.113,0.15,0.144,0.705,0.501,0.21,0.329,0.116,0.065,0.195,0.484,0.516
Seq_1111,0.155,0.138,0.707,0.185,0.481,0.395,0.039,0.088,0.138,0.155,0.707,0.5,0.235,0.331,0.097,0.041,0.224,0.467,0.533
Seq_1112,0.09,0.197,0.712,0.234,0.458,0.371,0.067,0.054,0.197,0.09,0.712,0.465,0.177,0.465,0.137,0.06,0.258,0.475,0.525
Seq_1113,0.132,0.135,0.732,0.223,0.476,0.403,0.072,0.096,0.135,0.132,0.732,0.449,0.237,0.4,0.129,0.038,0.271,0.548,0.452
Seq_1114,0.151,0.12,0.729,0.213,0.471,0.422,0.013,0.067,0.12,0.151,0.729,0.427,0.209,0.391,0.107,0.044,0.307,0.516,0.484
Seq_1115,0.157,0.157,0.686,0.225,0.451,0.363,0.029,0.093,0.157,0.157,0.686,0.441,0.196,0.407,0.088,0.049,0.201,0.436,0.564
Seq_1116,0.124,0.099,0.776,0.19,0.559,0.461,0.052,0.108,0.099,0.124,0.776,0.539,0.204,0.335,0.108,0.028,0.247,0.505,0.495
Seq_1117,0.119,0.1,0.782,0.192,0.566,0.481,0.041,0.068,0.1,0.119,0.782,0.549,0.184,0.34,0.114,0.053,0.311,0.505,0.495
Seq_1118,0.123,0.123,0.753,0.16,0.553,0.496,0.049,0.054,0.123,0.123,0.753,0.521,0.212,0.343,0.109,0.03,0.272,0.546,0.454
Seq_1119,0.106,0.126,0.768,0.233,0.485,0.44,0.063,0.064,0.126,0.106,0.768,0.488,0.22,0.388,0.149,0.021,0.244,0.569,0.431
Seq_1120,0.124,0.121,0.755,0.177,0.559,0.516,0.068,0.078,0.121,0.124,0.755,0.543,0.211,0.339,0.13,0.003,0.258,0.587,0.413
Seq_1121,0.19,0.14,0.67,0.206,0.442,0.396,0.063,0.071,0.14,0.19,0.67,0.429,0.277,0.343,0.117,0.028,0.269,0.5,0.5
Seq_1122,0.117,0.096,0.787,0.293,0.438,0.38,0.069,0.076,0.096,0.117,0.787,0.485,0.241,0.366,0.131,0.104,0.33,0.599,0.401
Seq_1123,0.16,0.124,0.717,0.232,0.459,0.391,0.05,0.066,0.124,0.16,0.717,0.497,0.236,0.335,0.112,0.084,0.277,0.493,0.507
Seq_1124,0.151,0.126,0.724,0.297,0.371,0.329,0.063,0.039,0.126,0.151,0.724,0.391,0.269,0.444,0.212,0.033,0.281,0.55,0.45
Seq_1125,0.108,0.054,0.838,0.311,0.473,0.377,0.048,0.09,0.054,0.108,0.838,0.473,0.21,0.377,0.204,0.048,0.323,0.533,0.467
Seq_1126,0.132,0.124,0.744,0.17,0.552,0.471,0.041,0.076,0.124,0.132,0.744,0.501,0.195,0.365,0.096,0.043,0.273,0.501,0.499
Seq_1127,0.153,0.126,0.721,0.162,0.538,0.485,0.06,0.049,0.126,0.153,0.721,0.531,0.235,0.343,0.1,0.04,0.219,0.498,0.502
Seq_1128,0.119,0.116,0.765,0.171,0.574,0.525,0.062,0.065,0.116,0.119,0.765,0.543,0.201,0.335,0.106,0.018,0.287,0.535,0.465
Seq_1129,0.201,0.143,0.656,0.179,0.433,0.371,0.054,0.071,0.143,0.201,0.656,0.438,0.299,0.362,0.125,0.013,0.188,0.487,0.513
Seq_1130,0.201,0.143,0.656,0.179,0.433,0.371,0.049,0.071,0.143,0.201,0.656,0.446,0.295,0.362,0.121,0.013,0.183,0.478,0.522
Seq_1131,0.103,0.08,0.816,0.161,0.605,0.552,0.05,0.046,0.08,0.103,0.816,0.563,0.203,0.33,0.096,0.027,0.28,0.579,0.421
Seq_1132,0.147,0.125,0.728,0.192,0.494,0.403,0.047,0.092,0.125,0.147,0.728,0.489,0.236,0.344,0.122,0.047,0.219,0.503,0.497
Seq_1133,0.144,0.13,0.725,0.226,0.465,0.391,0.066,0.078,0.13,0.144,0.725,0.47,0.244,0.364,0.125,0.046,0.21,0.464,0.536
Seq_1134,0.144,0.13,0.726,0.218,0.469,0.393,0.066,0.076,0.13,0.144,0.726,0.469,0.248,0.358,0.12,0.047,0.211,0.466,0.534
Seq_1135,0.133,0.109,0.759,0.238,0.483,0.34,0.044,0.17,0.109,0.133,0.759,0.48,0.214,0.344,0.116,0.051,0.214,0.476,0.524
Seq_1136,0.089,0.049,0.863,0.164,0.674,0.557,0.053,0.091,0.049,0.089,0.863,0.632,0.166,0.299,0.113,0.047,0.277,0.497,0.503
Seq_1137,0.103,0.099,0.798,0.249,0.47,0.39,0.075,0.109,0.099,0.103,0.798,0.45,0.257,0.393,0.135,0.022,0.238,0.562,0.438
Seq_1138,0.112,0.13,0.758,0.195,0.526,0.439,0.04,0.091,0.13,0.112,0.758,0.502,0.189,0.365,0.104,0.049,0.279,0.539,0.461
Seq_1139,0.15,0.152,0.698,0.139,0.53,0.466,0.044,0.042,0.152,0.15,0.698,0.508,0.223,0.355,0.095,0.029,0.219,0.479,0.521
Seq_1140,0.139,0.139,0.722,0.203,0.487,0.417,0.08,0.086,0.139,0.139,0.722,0.455,0.251,0.385,0.118,0.027,0.219,0.545,0.455
Seq_1141,0.152,0.152,0.697,0.227,0.439,0.333,0.015,0.061,0.152,0.152,0.697,0.477,0.197,0.424,0.167,0.076,0.22,0.53,0.47
Seq_1142,0.119,0.084,0.797,0.203,0.569,0.528,0.111,0.046,0.084,0.119,0.797,0.525,0.254,0.358,0.114,0.03,0.309,0.553,0.447
Seq_1143,0.124,0.132,0.744,0.243,0.481,0.39,0.058,0.114,0.132,0.124,0.744,0.468,0.203,0.375,0.119,0.043,0.228,0.43,0.57
Seq_1144,0.143,0.118,0.739,0.185,0.508,0.407,0.059,0.11,0.118,0.143,0.739,0.489,0.247,0.357,0.121,0.037,0.213,0.517,0.483
Seq_1145,0.194,0.194,0.612,0.173,0.408,0.327,0.02,0.071,0.194,0.194,0.612,0.439,0.245,0.388,0.122,0.02,0.133,0.367,0.633
Seq_1146,0.144,0.123,0.733,0.248,0.449,0.374,0.042,0.065,0.123,0.144,0.733,0.428,0.223,0.418,0.163,0.036,0.315,0.534,0.466
Seq_1147,0.124,0.192,0.684,0.202,0.415,0.301,0.036,0.098,0.192,0.124,0.684,0.446,0.228,0.373,0.119,0.067,0.176,0.461,0.539
Seq_1148,0.172,0.134,0.694,0.153,0.53,0.438,0.051,0.091,0.134,0.172,0.694,0.511,0.234,0.32,0.081,0.043,0.215,0.444,0.556
Seq_1149,0.136,0.128,0.736,0.21,0.479,0.389,0.063,0.107,0.128,0.136,0.736,0.482,0.246,0.333,0.112,0.044,0.21,0.479,0.521
Seq_1150,0.143,0.119,0.739,0.188,0.513,0.428,0.036,0.09,0.119,0.143,0.739,0.487,0.216,0.349,0.086,0.05,0.264,0.482,0.518
Seq_1151,0.128,0.128,0.743,0.233,0.497,0.422,0.057,0.074,0.128,0.128,0.743,0.534,0.199,0.355,0.125,0.054,0.236,0.483,0.517
Seq_1152,0.152,0.12,0.728,0.223,0.465,0.392,0.079,0.062,0.12,0.152,0.728,0.479,0.27,0.36,0.133,0.051,0.229,0.491,0.509
Seq_1153,0.131,0.15,0.719,0.157,0.529,0.431,0.092,0.105,0.15,0.131,0.719,0.516,0.255,0.32,0.105,0.033,0.229,0.516,0.484
Seq_1154,0.134,0.134,0.731,0.194,0.463,0.336,0.037,0.104,0.134,0.134,0.731,0.455,0.246,0.358,0.112,0.06,0.216,0.455,0.545
Seq_1155,0.127,0.095,0.779,0.26,0.476,0.386,0.06,0.098,0.095,0.127,0.779,0.531,0.229,0.342,0.174,0.053,0.237,0.513,0.487
Seq_1156,0.132,0.098,0.77,0.257,0.481,0.392,0.054,0.102,0.098,0.132,0.77,0.519,0.217,0.346,0.16,0.049,0.256,0.517,0.483
Seq_1157,0.109,0.076,0.815,0.199,0.592,0.505,0.044,0.087,0.076,0.109,0.815,0.564,0.178,0.327,0.12,0.037,0.265,0.491,0.509
Seq_1158,0.157,0.173,0.67,0.188,0.424,0.304,0.016,0.126,0.173,0.157,0.67,0.45,0.23,0.361,0.115,0.052,0.188,0.466,0.534
Seq_1159,0.147,0.122,0.731,0.179,0.519,0.423,0.054,0.087,0.122,0.147,0.731,0.493,0.233,0.338,0.094,0.045,0.255,0.471,0.529
Seq_1160,0.161,0.161,0.679,0.161,0.487,0.409,0.057,0.073,0.161,0.161,0.679,0.497,0.249,0.326,0.078,0.062,0.202,0.492,0.508
Seq_1161,0.122,0.113,0.765,0.189,0.552,0.471,0.035,0.09,0.113,0.122,0.765,0.485,0.18,0.372,0.11,0.041,0.299,0.503,0.497
Seq_1162,0.115,0.148,0.737,0.139,0.564,0.509,0.026,0.026,0.148,0.115,0.737,0.522,0.175,0.376,0.091,0.047,0.279,0.569,0.431
Seq_1163,0.15,0.157,0.693,0.223,0.442,0.37,0.006,0.075,0.157,0.15,0.693,0.439,0.185,0.401,0.129,0.05,0.238,0.467,0.533
Seq_1164,0.15,0.163,0.687,0.183,0.474,0.394,0.031,0.081,0.163,0.15,0.687,0.459,0.211,0.38,0.112,0.041,0.219,0.47,0.53
Seq_1165,0.199,0.19,0.611,0.213,0.362,0.304,0.058,0.054,0.19,0.199,0.611,0.348,0.294,0.449,0.151,0.023,0.236,0.482,0.518
Seq_1166,0.108,0.11,0.782,0.215,0.501,0.41,0.045,0.088,0.11,0.108,0.782,0.483,0.219,0.372,0.146,0.036,0.241,0.544,0.456
Seq_1167,0.145,0.105,0.75,0.184,0.527,0.458,0.03,0.06,0.105,0.145,0.75,0.503,0.214,0.331,0.111,0.045,0.229,0.497,0.503
Seq_1168,0.133,0.105,0.762,0.19,0.53,0.467,0.036,0.06,0.105,0.133,0.762,0.503,0.211,0.334,0.111,0.039,0.229,0.509,0.491
Seq_1169,0.176,0.111,0.713,0.182,0.492,0.401,0.072,0.111,0.111,0.176,0.713,0.476,0.287,0.3,0.085,0.026,0.166,0.423,0.577
Seq_1170,0.13,0.036,0.834,0.195,0.604,0.515,0.053,0.071,0.036,0.13,0.834,0.598,0.219,0.278,0.136,0.059,0.26,0.473,0.527
Seq_1171,0.102,0.108,0.79,0.166,0.618,0.571,0.071,0.027,0.108,0.102,0.79,0.55,0.178,0.376,0.091,0.037,0.326,0.564,0.436
Seq_1172,0.134,0.114,0.752,0.176,0.528,0.445,0.031,0.069,0.114,0.134,0.752,0.517,0.214,0.331,0.097,0.055,0.283,0.493,0.507
Seq_1173,0.122,0.09,0.788,0.275,0.487,0.386,0.053,0.106,0.09,0.122,0.788,0.503,0.201,0.392,0.159,0.048,0.243,0.492,0.508
Seq_1174,0.12,0.11,0.77,0.219,0.538,0.485,0.056,0.059,0.11,0.12,0.77,0.518,0.189,0.365,0.12,0.043,0.304,0.528,0.472
Seq_1175,0.132,0.106,0.762,0.245,0.482,0.405,0.067,0.076,0.106,0.132,0.762,0.477,0.234,0.385,0.153,0.04,0.26,0.516,0.484
Seq_1176,0.135,0.102,0.763,0.216,0.51,0.43,0.052,0.089,0.102,0.135,0.763,0.518,0.224,0.323,0.112,0.047,0.242,0.497,0.503
Seq_1177,0.149,0.109,0.742,0.197,0.493,0.389,0.041,0.1,0.109,0.149,0.742,0.491,0.242,0.351,0.125,0.03,0.206,0.462,0.538
Seq_1178,0.149,0.106,0.746,0.203,0.493,0.394,0.039,0.097,0.106,0.149,0.746,0.493,0.238,0.349,0.118,0.034,0.204,0.466,0.534
Seq_1179,0.147,0.106,0.747,0.192,0.502,0.403,0.043,0.095,0.106,0.147,0.747,0.495,0.244,0.339,0.118,0.034,0.215,0.464,0.536
Seq_1180,0.115,0.038,0.847,0.217,0.618,0.573,0.051,0.083,0.038,0.115,0.847,0.592,0.178,0.293,0.134,0.025,0.35,0.58,0.42
Seq_1181,0.135,0.114,0.751,0.204,0.515,0.437,0.04,0.093,0.114,0.135,0.751,0.494,0.207,0.359,0.097,0.043,0.266,0.482,0.518
Seq_1182,0.111,0.08,0.809,0.215,0.557,0.489,0.043,0.055,0.08,0.111,0.809,0.542,0.191,0.338,0.129,0.062,0.302,0.554,0.446
Seq_1183,0.18,0.111,0.709,0.148,0.545,0.455,0.063,0.122,0.111,0.18,0.709,0.519,0.259,0.275,0.085,0.021,0.201,0.429,0.571
Seq_1184,0.12,0.135,0.745,0.15,0.571,0.502,0.087,0.06,0.135,0.12,0.745,0.571,0.231,0.342,0.105,0.027,0.264,0.592,0.408
Seq_1185,0.114,0.107,0.779,0.194,0.552,0.485,0.06,0.087,0.107,0.114,0.779,0.542,0.207,0.348,0.13,0.027,0.281,0.572,0.428
Seq_1186,0.18,0.175,0.646,0.194,0.417,0.34,0.015,0.083,0.175,0.18,0.646,0.413,0.228,0.388,0.121,0.034,0.218,0.456,0.544
Seq_1187,0.136,0.122,0.742,0.217,0.494,0.416,0.065,0.094,0.122,0.136,0.742,0.491,0.232,0.364,0.135,0.026,0.237,0.511,0.489
